dp_label,dp,field,operator,zone,count,bias,rmse,p95_abs_error,max_abs_error
dp=0.010,0.01,constant,material_only,interior,108,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,middle,233,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,near_boundary,398,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,material_only,all_valid,739,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_exact_boundary,interior,108,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_exact_boundary,middle,233,-3.1816709873317934e-14,8.557211926903218e-13,1.9194594290194815e-12,3.989751136950978e-12
dp=0.010,0.01,constant,mode8_exact_boundary,near_boundary,398,-8.751879162816189e-14,2.2269003307766767e-12,4.689229120496116e-12,1.4243927536357866e-11
dp=0.010,0.01,constant,mode8_exact_boundary,all_valid,739,-5.71661332455907e-14,1.7034281100960733e-12,3.456115761777422e-12,1.4243927536357866e-11
dp=0.010,0.01,constant,mode8_drained_zero_boundary,interior,108,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,mode8_drained_zero_boundary,middle,233,-4427.860585769171,5361.479540946,7622.091052916521,8911.069373759376
dp=0.010,0.01,constant,mode8_drained_zero_boundary,near_boundary,398,8958.09973323774,14175.584748760792,23047.487676693476,23053.94232874655
dp=0.010,0.01,constant,mode8_drained_zero_boundary,all_valid,739,3428.460321169693,10829.886455361533,23039.967740590604,23053.94232874655
dp=0.010,0.01,quadratic_r2,material_only,interior,108,-0.054427709839479387,0.0915554536918798,0.22226144056961683,0.22226144056962038
dp=0.010,0.01,quadratic_r2,material_only,middle,233,-2.204012295444734,2.6844158801965845,4.58855364079473,5.26078165605185
dp=0.010,0.01,quadratic_r2,material_only,near_boundary,398,-9.83564558416762,10.084690950860209,12.24421005140673,12.244210051406759
dp=0.010,0.01,quadratic_r2,material_only,all_valid,739,-6.0,7.55287349039694,12.2442100514067,12.244210051406759
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,interior,108,-0.054427709839479387,0.0915554536918798,0.22226144056961683,0.22226144056962038
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,middle,233,-0.12549459705242125,0.2611751556567753,0.5150860736802724,0.9520300841978377
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,near_boundary,398,-5.076899258336143e-15,1.0896398234557418e-14,2.1316282072803006e-14,3.2862601528904634e-14
dp=0.010,0.01,quadratic_r2,mode8_exact_boundary,all_valid,739,-0.047521561266414,0.15077069914292285,0.2624447596956615,0.9520300841978377
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,interior,108,-0.054427709839479387,0.0915554536918798,0.22226144056961683,0.22226144056962038
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,middle,233,-11.195146061475349,13.406243149623352,19.055227632291302,22.277673434398455
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,near_boundary,398,22.395249333094352,35.43896187190198,57.61871919173368,57.63485582186633
dp=0.010,0.01,quadratic_r2,mode8_drained_zero_boundary,all_valid,739,8.523629241657824,27.07513593278647,57.59991935147654,57.63485582186633
dp=0.010,0.01,linear_gap,material_only,interior,107,3.514142295576276,7.4370649299517355,22.52878690936432,28.929480885812865
dp=0.010,0.01,linear_gap,material_only,middle,233,21.914035301113824,26.344737393868915,44.28289306781961,51.137988715621916
dp=0.010,0.01,linear_gap,material_only,near_boundary,398,84.98880482902463,86.46008794799332,100.28185104287746,100.28185104287752
dp=0.010,0.01,linear_gap,material_only,all_valid,738,53.262232754387526,65.2576581959981,100.2818510428774,100.28185104287752
dp=0.010,0.01,linear_gap,mode8_exact_boundary,interior,107,3.514142295576276,7.4370649299517355,22.52878690936432,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_exact_boundary,middle,233,2.4799063683363562,3.296635882552057,5.564963204418795,10.118318397004636
dp=0.010,0.01,linear_gap,mode8_exact_boundary,near_boundary,398,-4.359189637380744,4.944836495883458,7.845236982841849,7.84754074770742
dp=0.010,0.01,linear_gap,mode8_exact_boundary,all_valid,738,-1.058436404103664,4.963555894126719,7.844909440846554,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,interior,107,3.514142295576276,7.4370649299517355,22.52878690936432,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,middle,233,2.479906368336356,3.2966358825520565,5.564963204418795,10.118318397004636
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,near_boundary,398,-4.359189637380747,4.94483649588346,7.845236982841817,7.847540747707427
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,all_valid,738,-1.058436404103665,4.963555894126719,7.844909440846575,28.929480885812865
dp=0.010,0.01,smooth_quartic,material_only,interior,108,425.42174165759053,425.493219989974,441.45501831930335,441.4550183193053
dp=0.010,0.01,smooth_quartic,material_only,middle,233,306.38707489257155,354.1227836571051,465.912243264303,465.9122432643119
dp=0.010,0.01,smooth_quartic,material_only,near_boundary,398,-2569.3812476105445,2985.0794738039785,4745.620681564688,4745.620681564772
dp=0.010,0.01,smooth_quartic,material_only,all_valid,739,-1225.006765899875,2205.672989975301,4745.620681564579,4745.620681564772
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,interior,108,425.42174165759053,425.493219989974,441.45501831930335,441.4550183193053
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,middle,233,249.46570416964485,372.0252752198525,563.5919219120321,563.7384007972414
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,near_boundary,398,-1701.1976496629868,1875.6686059343363,2772.0739653226433,2772.283988281871
