case,label,operator,mode,class_filter,stabilized,code,excluded,steps,part_files,dtmin_adjusted,runtime_sec,frame_count,max_porepressrate,max_velocity,final_porepress_mean,final_porepress_min,negative_pressure_count_final,center_reversal_time,kplastic_max
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0,0.0,46.0,20.0,0.0,1.23752,20,47933223000.0,1.625942300000003,-36931.71051693744,-1296693.987373,252,0.003821,0.0
CaseT4h_ConfOnly_Op2LSQInterior,op2 LSQ interior,2,excess,interior,off,0,0.0,46.0,20.0,0.0,1.197785,20,50351370000.0,2.4042323000001553,-44978.00957693646,-1206641.866004,336,0.003821,0.0
CaseT4h_ConfOnly_Op2LSQInteriorStabilized,op2 LSQ stabilized,2,excess,interior,relax+cap,0,0.0,46.0,20.0,0.0,1.273996,20,465444640.0,0.017194107000000756,-4037.4158667833362,-39541.10638814,222,0.004022,0.0
