case,label,center_reversal_time,negative_pressure_count_final,final_porepress_min
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,0.003821,252,-1296693.987373
CaseT4h_ConfOnly_Op2LSQInterior,op2 LSQ interior,0.003821,336,-1206641.866004
CaseT4h_ConfOnly_Op2LSQInteriorStabilized,op2 LSQ stabilized,0.004022,222,-39541.10638814
