case,label,operator,mode,class_filter,stabilized,time,part,region,count,porepress_mean,porepress_min,porepress_max,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001508,5,lateral_class,196,9341.343240331107,6473.217644152,11145.75907516,15960282.724489795,20553828.0,-0.02394912649489796,0.030838251,0.0007338431615578916
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.001508,5,cap_edge_class,148,2239.919838830608,1105.240599935,3385.687796416,1602210.9008783782,4860915.0,-0.0023936937842567573,0.007280902,0.00016798496903409682
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.00181,6,all,407,9184.520075011964,1267.864049292,16662.34450285,8232501.041081082,17878728.0,-0.01234875251007371,0.026865335,0.000655086324980849
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.00181,6,center_core,45,11669.687527757646,9253.759694171,13063.25475069,10926148.533333333,12402734.0,-0.01638495131111111,0.018604135,0.00022027294615433552
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.00181,6,interior_class,63,10680.420680840856,7139.48127415,13063.25475069,10037356.26984127,12402734.0,-0.015052239555555555,0.018604135,0.0002698182567019708
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.00181,6,lateral_class,196,13643.630619655634,8689.871135994,16662.34450285,13014631.288265307,17878728.0,-0.019537443980612246,0.026865335,0.000655086324980849
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.00181,6,cap_edge_class,148,2642.443014759399,1267.864049292,4601.137330263,1131126.6636486484,4723092.0,-0.0016777848608108107,0.0070689172,0.00026765528440636537
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002011,7,all,407,10483.32480068723,1404.162897408,19567.70169066,5811423.925798526,14575697.0,-0.008717136715552826,0.021935329,0.0005693880593839538
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002011,7,center_core,45,13362.092900431113,10636.90959372,14995.49161284,7471129.222222222,8564352.0,-0.01120349634,0.012849775,0.0002521260944611597
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002011,7,interior_class,63,12237.450177556155,8305.196765859,14995.49161284,6878573.238095238,8564352.0,-0.010315272492063493,0.012849775,0.00032971873355046435
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002011,7,lateral_class,196,15737.146376415147,9563.472642105,19567.70169066,9470789.786734695,14575697.0,-0.014225242412244899,0.021935329,0.0005693880593839538
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002011,7,cap_edge_class,148,2778.872587272277,1404.162897408,5292.411404422,510977.20000000007,3991364.5,-0.0007423308339864865,0.0059724147,0.00033318461781073653
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002312,8,all,407,11359.831329596798,1441.452998997,22245.29930674,1407923.2445872237,8563701.0,-0.0021118854202285013,0.012949703,0.00043502051399402767
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002312,8,center_core,45,14265.414551888443,11533.87655633,16100.59328863,632296.2955111112,2705431.8,-0.0009463364858,0.0040399982,0.0002988600093760834
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002312,8,interior_class,63,13075.63520557368,9179.8196323,16100.59328863,612618.9904444445,2705431.8,-0.0009176623814444444,0.0040399982,0.0004107622933527747
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002312,8,lateral_class,196,17347.958927735403,9678.724761309,22245.29930674,3232673.047653062,8563701.0,-0.004871704758928571,0.012949703,0.00041318496242241567
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002312,8,cap_edge_class,148,2699.2323199906555,1441.452998997,6087.871638287,-670095.6296689188,3053554.5,0.0010346587618108108,0.00464522,0.00043502051399402767
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002514,9,all,407,11059.083688945526,3003.924813765,18994.95452864,-1484462.79392629,7059689.0,0.0022266941324324326,0.010580467,0.0004884326788301348
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002514,9,center_core,45,13770.901335490891,12087.14330987,15180.44496494,-4035199.5311111105,4453331.0,0.006057070720000001,0.0066841501,0.00032111690182548943
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002514,9,interior_class,63,12587.107965654983,9318.085676529,15180.44496494,-3670283.7158730165,4453331.0,0.005510227528571429,0.0066841501,0.00045355844959923134
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002514,9,lateral_class,196,15400.794463443113,10657.56971352,18994.95452864,-783060.919387755,7059689.0,0.0011594764204081631,0.010580467,0.00043895198485633297
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002514,9,cap_edge_class,148,4658.807734660237,3003.924813765,6371.137648892,-1482895.5596486486,3398508.0,0.002242316210810811,0.0051108324,0.0004884326788301348
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002815,10,all,407,9872.760379884505,2400.119853631,18656.21354452,-5018202.7334078625,12614361.0,0.007527304338610565,0.018936519,0.0005307189704852089
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002815,10,center_core,45,11385.03855427178,10013.37725424,13019.66655632,-9567762.033333333,10306320.0,0.014358620273333334,0.015467505,0.000337353763907775
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002815,10,interior_class,63,10406.891158361397,7785.879197694,13019.66655632,-8753655.42857143,10306320.0,0.013137510866666665,0.015467505,0.00048541289067669
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002815,10,lateral_class,196,14130.563823510525,8585.945064465,18656.21354452,-5750843.481770408,12614361.0,0.008610484849971938,0.018936519,0.0004747324178236254
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.002815,10,cap_edge_class,148,4006.6812312713655,2400.119853631,5694.814112251,-2457857.4193918924,4669047.0,0.00370469358527027,0.0070278961,0.0005307189704852089
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.003016,11,all,407,8624.105610993516,1805.699312131,17771.8726751,-6542685.97019656,14910718.0,0.009814029336683048,0.022396978,0.0005356613500000002
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.003016,11,center_core,45,9137.565185488489,7802.617120451,11443.30907719,-11583883.044444444,12677567.0,0.01738528928888889,0.019026283,0.0003321181327112288
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.003016,11,interior_class,63,8346.51919691681,6161.363731067,11443.30907719,-10627076.833333334,12677567.0,0.015949808953968254,0.019026283,0.0004848535981098522
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.003016,11,lateral_class,196,12619.500317794807,6675.949275674,17771.8726751,-8022564.621938776,14910718.0,0.012018503853571429,0.022396978,0.00047896308672896765
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.003016,11,cap_edge_class,148,3451.068999870405,1805.699312131,5298.984197647,-2844220.834256757,5463121.5,0.00428273797722973,0.0082216142,0.0005356613500000002
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.003318,12,all,407,6522.972631221358,1216.086789491,15258.3038165,-6857654.044496315,28326590.0,0.010286481248673218,0.042534836,0.0023078306533228137
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.003318,12,center_core,45,5873.085379101823,4954.836243669,10358.59031781,-9116133.7,18877510.0,0.01368478103777778,0.028333513,0.0019265867990347775
CaseT4h_ConfOnly_Op1InteriorBaseline,op1 interior,1,excess,interior,off,0.003318,12,interior_class,63,6096.606730129303,4954.836243669,10358.59031781,-3229395.134920635,28326590.0,0.004851731022222221,0.042534836,0.0023078306533228137
