case,part,time,region,particle_count,platen_contamination,porepress_mean,porepress_std,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max,kplastic_mean,kplastic_nonzero_count,kplastic_fraction,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
dp_high_strength,0,0.0,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_high_strength,1,0.000503,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_high_strength,2,0.001005,specimen_minus_edges,87,0,4698.739183172621,2074.1779915309744,31238852.0,-0.025065579636781615,0.046881352,0.0,0.0,0,0.0,-11.721895286206898,-11.721895205747128,-12.36440006666667,12.36440006666667,0.034959517573936644,11.936063519540232,0.6425048206896644
dp_high_strength,3,0.001508,specimen_minus_edges,87,0,15744.262372573643,5436.3067326122355,40172852.0,-0.0379835883908046,0.060293276,0.0,0.0,0,0.0,-37.89956856321838,-37.89956851724136,-48.01675243333333,48.01675243333333,0.13576416902441982,41.27196317126436,10.117183893103462
dp_high_strength,4,0.002011,specimen_minus_edges,83,0,26029.803438268675,9082.029079452515,27632220.0,-0.025614515590361445,0.041556198,0.0,0.0,0,0.0,-55.51077030120482,-55.51077012048192,-89.81914590361447,89.81914590361447,0.25395765203025444,66.94689544176707,34.3083756927711
dp_high_strength,5,0.002513,specimen_minus_edges,79,0,27562.381332662026,7766.440688572616,10088349.0,-0.003955201137974681,0.015127582,0.0,0.0,0,0.0,-50.93001583544304,-50.93001612658227,-127.60783513924049,127.60783513924049,0.36080265367254183,76.48928903375527,76.67781915822786
dp_high_strength,6,0.003016,specimen_minus_edges,71,0,25795.012852812113,6556.003001566149,15557895.0,0.007000642664507042,0.023245666,0.0,0.0,0,0.0,-27.329029559154925,-27.329029100000003,-163.9594976197183,163.9594976197183,0.4635845578875421,72.87251875962441,136.63046829014087
dp_high_strength,7,0.003519,specimen_minus_edges,63,0,23604.17062580634,5291.915954603834,19002820.0,-0.003685923567142859,0.02854627,0.0,0.0,0,0.0,-3.7961224063492085,-3.7961215365079326,-213.14130498412695,213.14130498412695,0.6026428421232073,73.57784964232803,209.3451830126984
dp_high_strength,8,0.004022,specimen_minus_edges,63,0,29450.26873162238,4858.185246741329,33779200.0,-0.026869392222222233,0.050816566,0.0,0.0,0,0.0,-0.8812732507936507,-0.8812721192063446,-263.20258285714294,263.20258285714294,0.7441877706388731,88.32170940904764,262.321310172143
dp_high_strength,9,0.004524,specimen_minus_edges,63,0,38563.917512477004,5834.096121909711,33745132.0,-0.04156176687301587,0.050707553,0.0,0.0,0,0.0,-16.41797680432064,-16.417975613998408,-325.49132571428567,325.49132571428567,0.9203050419040821,119.44242604420157,309.07334950512615
dp_high_strength,10,0.005027,specimen_minus_edges,63,0,52007.492690422056,7043.545066768303,28217100.0,-0.03661506034920635,0.04240578,0.0,0.0,0,0.0,-36.02470217460318,-36.02470153968253,-387.5213493650793,387.5213493650793,1.095690801847083,153.190251026455,351.4966475079364
dp_high_strength,11,0.00553,specimen_minus_edges,63,0,56691.598027180466,7160.148026659377,24855276.0,-0.01738768826349206,0.037341122,0.0,0.0,0,0.0,-44.30854639682539,-44.308545968253966,-435.8491320634919,435.8491320634919,1.2323343882277382,174.82207480952374,391.5405858809523
dp_high_strength,12,0.006032,specimen_minus_edges,63,0,58463.54459417112,9513.558885784201,20437690.0,0.0016021663492063487,0.030697737,0.0,0.0,0,0.0,-36.13781182539682,-36.13781242857143,-466.0970642857143,466.0970642857143,1.3178584017177926,179.45756284656082,429.9592521587302
dp_high_strength,13,0.006535,specimen_minus_edges,63,0,54086.77945963365,10741.69531032229,14652438.0,0.006541047876190475,0.021973256,0.0,0.0,0,0.0,-19.30868625714286,-19.30868802698413,-485.11476904761923,485.11476904761923,1.3716296951291187,174.57738111058208,465.80608190555574
dp_high_strength,14,0.007038,specimen_minus_edges,63,0,53948.49355992747,12218.091778610258,13242881.0,-0.005485907948619047,0.020030981,0.0,0.0,0,0.0,-8.583776819714284,-8.583778483317461,-506.2157633333334,506.2157633333334,1.4312913508974145,174.46110621212173,497.6319856818176
dp_high_strength,15,0.00754,specimen_minus_edges,63,0,56348.65539511967,10069.762068960206,19545976.0,-0.022269950873015875,0.029305076,0.0,0.0,0,0.0,-12.525825550793652,-12.525826765079367,-538.7238607936509,538.7238607936509,1.5232058310445777,187.925171036508,526.1980346357144
dp_high_strength,16,0.008043,specimen_minus_edges,63,0,65693.4141735016,9792.915510614603,22725040.0,-0.030008574587301568,0.034280945,0.0,0.0,0,0.0,-26.446043280476193,-26.44604387777778,-581.6283377777776,581.6283377777776,1.6445153817740779,211.50680831201052,555.1822941986505
dp_high_strength,17,0.008546,specimen_minus_edges,63,0,70639.14979621937,9281.165885338154,20386982.0,-0.02520798112698413,0.030679911,0.0,0.0,0,0.0,-38.82122325873017,-38.82122285079366,-627.7176798412698,627.7176798412698,1.7748299263659868,235.12004198359787,588.896456786508
dp_high_strength,18,0.009049,specimen_minus_edges,63,0,76782.41058055856,9907.53304042885,12981077.0,-0.013580745449206347,0.019634442,0.0,0.0,0,0.0,-40.74772253968254,-40.747720492063486,-670.5384060317459,670.5384060317459,1.8959026773052285,250.67794968783065,629.790684515873
dp_high_strength,19,0.009551,specimen_minus_edges,63,0,75848.35165108334,9332.84946527258,5893919.0,-0.004718130980952381,0.0088526066,0.0,0.0,0,0.0,-31.55899323809523,-31.558989920634925,-708.6162344444447,708.6162344444447,2.0035652007106166,257.2447392010583,677.0572428650796
dp_high_strength,20,0.010054,specimen_minus_edges,63,0,77228.55325293176,8496.73814385298,12120019.0,-0.0051819514844444435,0.018245116,0.0,0.0,0,0.0,-18.592626373174603,-18.592621139365075,-745.4146806349207,745.4146806349207,2.107610356104584,260.86664271582015,726.822056878651
dp_high_strength,21,0.010557,specimen_minus_edges,63,0,77388.55274092317,7934.09006872133,20716758.0,-0.01375140849579365,0.031109193,0.0,0.0,0,0.0,-11.196797913492068,-11.196792225396827,-785.5165036507941,785.5165036507941,2.220995589428587,269.30336459656104,774.3197085813496
dp_high_strength,22,0.011059,specimen_minus_edges,63,0,83930.7418633657,8623.606318902888,25910272.0,-0.022996662568253973,0.038986128,0.0,0.0,0,0.0,-13.70363106412698,-13.70362691285714,-830.1096642857143,830.1096642857143,2.3470797806945005,285.83897408756616,816.4060352972223
dp_high_strength,23,0.011562,specimen_minus_edges,63,0,88181.79035008667,9593.959729145081,25399832.0,-0.02584376196825397,0.038174681,0.0,0.0,0,0.0,-22.96349176507936,-22.963490261904752,-875.7977522222224,875.7977522222224,2.4762598059706087,307.2415780830688,852.8342612087304
