case,case_name,code,excluded,dtmin_adjustments,fixed_count,moving_count,fluid_count,true_reaction_available,reaction_type,final_total_count,final_specimen_count,final_top_platen_count,final_bottom_platen_count,final_measurement_core_small_count,final_platen_contamination_core_small,final_top_platen_displacement,final_top_platen_vz_mean,final_bottom_platen_displacement,final_bottom_platen_vmag_max,final_specimen_axial_strain_proxy,final_specimen_radial_strain_proxy,final_velocity_max,final_specimen_velocity_max,final_porepress_mean,final_porepress_std,final_porepressrate_maxabs,final_divvel_maxabs,final_kplastic_max,final_kplastic_mean,final_kplastic_nonzero_count,final_kplastic_fraction,final_true_reaction_available,final_reaction_type,final_sigma_xx_mean,final_sigma_yy_mean,final_sigma_zz_mean,final_sigma_a_proxy,final_reaction_force_proxy,final_p_eff_proxy,final_q_proxy,final_mode,final_top_mkbound,final_bottom_mkbound,final_top_count,final_bottom_count,final_top_pairs,final_bottom_pairs,final_top_force_x,final_top_force_y,final_top_force_z,final_bottom_force_x,final_bottom_force_y,final_bottom_force_z,final_top_axial_stress,final_bottom_axial_stress,final_force_balance_error
dp_high_strength,CaseT5c_DPHighStrength_ExtendedFeedbackOff,0,0,0,74,74,407,1,pairwise_fluid_bound_accumulator,555,407,74,74,15,0,-9.000000000000674e-05,-0.00017211076999999966,0.0,0.0,-0.000636733970000164,0.00023380814530434737,0.004691603396916086,0.004691603396916086,111458.97791005751,20929.95221483014,15200322.0,0.022936625,0.0,0.0,0,0.0,1,pairwise_fluid_bound_accumulator,-27.890279819459426,-27.890279585970507,-1101.6341972972984,1101.6341972972984,3.1147973110552334,385.8049189009095,1073.7439175945835,0,1,2,74,74,2569,2569,7.1651e-09,-2.175e-09,3.10807,-1.73501e-08,-3.0679e-09,-3.43994,1099.25,1216.63,0.0506831
dp_mild_yield,CaseT5c_DPMildYield_ExtendedFeedbackOff,0,0,0,74,74,407,1,pairwise_fluid_bound_accumulator,555,407,74,74,15,0,-9.000000000000674e-05,-0.00019871054999999994,0.0,0.0,-0.0005056757800001033,0.000370625169331144,0.004506593597174218,0.004506593597174218,-35251.016202382,28273.87434790647,14385874.0,0.021725578,0.0014621217,0.00045292589326289965,407,1.0,1,pairwise_fluid_bound_accumulator,-22.06293204081083,-22.06293201199017,-142.57202096707607,142.57202096707607,0.4031128923098545,62.23262833995903,120.50908894067557,0,1,2,74,74,2569,2569,3.71195e-09,3.80803e-09,0.435835,-3.77134e-11,3.7997e-10,-0.431214,154.145,152.511,0.00532965
