case,step,time,mode,top_mkbound,bottom_mkbound,top_count,bottom_count,top_pairs,bottom_pairs,top_force_x,top_force_y,top_force_z,bottom_force_x,bottom_force_y,bottom_force_z,top_axial_stress,bottom_axial_stress,force_balance_error,reaction_type,true_reaction_available
dp_mild_yield,20,0.00241294,0,1,2,74,74,2569,2569,-1.43705e-09,-2.49166e-09,0.553189,-4.21098e-10,-1.63137e-10,-0.0779902,195.651,27.5834,0.752875,pairwise_fluid_bound_accumulator,1
dp_mild_yield,30,0.00341828,0,1,2,74,74,2569,2569,-1.84124e-09,-1.96465e-09,0.189083,5.23984e-10,-5.28341e-10,-0.19068,66.8744,67.4393,0.00420559,pairwise_fluid_bound_accumulator,1
dp_mild_yield,40,0.00442365,0,1,2,74,74,2569,2569,-5.41846e-10,-3.36369e-09,0.285679,3.16407e-10,-1.03565e-09,-0.331249,101.038,117.155,0.0738663,pairwise_fluid_bound_accumulator,1
dp_mild_yield,50,0.00542903,0,1,2,74,74,2569,2569,6.84205e-10,-2.19092e-09,0.55936,1.72616e-09,-4.47244e-10,-0.426189,197.833,150.733,0.135124,pairwise_fluid_bound_accumulator,1
dp_mild_yield,60,0.00643442,0,1,2,74,74,2569,2569,-9.22466e-10,-1.86756e-09,0.615708,3.24035e-09,1.60544e-10,-0.491306,217.762,173.764,0.112377,pairwise_fluid_bound_accumulator,1
dp_mild_yield,70,0.00743978,0,1,2,74,74,2569,2569,1.80054e-09,8.3114e-10,0.433822,4.80166e-09,1.02853e-09,-0.460433,153.433,162.845,0.0297572,pairwise_fluid_bound_accumulator,1
dp_mild_yield,80,0.00844512,0,1,2,74,74,2569,2569,3.22725e-10,2.11138e-09,0.329144,3.38008e-09,-3.94344e-10,-0.371684,116.411,131.456,0.0606998,pairwise_fluid_bound_accumulator,1
dp_mild_yield,90,0.00945049,0,1,2,74,74,2569,2569,2.92307e-10,5.80157e-10,0.459829,7.71549e-12,-2.72684e-09,-0.386824,162.631,136.811,0.0862283,pairwise_fluid_bound_accumulator,1
dp_mild_yield,100,0.0104559,0,1,2,74,74,2569,2569,2.78991e-09,1.77349e-09,0.585789,-2.18406e-09,-1.26393e-09,-0.494312,207.18,174.827,0.0846922,pairwise_fluid_bound_accumulator,1
dp_mild_yield,110,0.0114612,0,1,2,74,74,2569,2569,2.16159e-09,4.41703e-09,0.517132,-2.11396e-10,5.1949e-10,-0.510926,182.898,180.703,0.00603726,pairwise_fluid_bound_accumulator,1
dp_mild_yield,120,0.0124666,0,1,2,74,74,2569,2569,1.53391e-09,2.00749e-09,0.399609,2.06952e-10,1.33087e-09,-0.43573,141.333,154.108,0.0432419,pairwise_fluid_bound_accumulator,1
dp_mild_yield,130,0.0134719,0,1,2,74,74,2569,2569,4.91575e-10,-1.72316e-10,0.420815,1.36471e-09,1.63526e-09,-0.404121,148.833,142.929,0.0202369,pairwise_fluid_bound_accumulator,1
dp_mild_yield,140,0.0144773,0,1,2,74,74,2569,2569,-2.36669e-10,-8.92202e-10,0.512046,5.34581e-10,2.30412e-09,-0.45617,181.099,161.337,0.0577103,pairwise_fluid_bound_accumulator,1
dp_mild_yield,150,0.0154826,0,1,2,74,74,2569,2569,-4.24651e-11,-1.60695e-09,0.527348,8.82064e-10,1.3468e-09,-0.501534,186.511,177.381,0.025089,pairwise_fluid_bound_accumulator,1
dp_mild_yield,160,0.016488,0,1,2,74,74,2569,2569,8.69853e-10,1.10411e-09,0.468875,-3.99116e-10,-1.33837e-10,-0.477758,165.831,168.972,0.00938319,pairwise_fluid_bound_accumulator,1
dp_mild_yield,170,0.0174933,0,1,2,74,74,2569,2569,3.71195e-09,3.80803e-09,0.435835,-3.77134e-11,3.7997e-10,-0.431214,154.145,152.511,0.00532965,pairwise_fluid_bound_accumulator,1
