case,part,time,velocity_max,specimen_velocity_max,porepressrate_maxabs,divvel_maxabs,porepress_mean,porepress_std,kplastic_max,kplastic_mean,kplastic_nonzero_count,kplastic_fraction,kplastic_growth_rate,reaction_force_proxy,p_eff_proxy,q_proxy
dp_high_strength,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,-0.0,0.0
dp_high_strength,1,0.000503,0.0049999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,-0.0,0.0
dp_high_strength,2,0.001005,0.0049999999,0.0024198727000000015,32690302.0,0.049062062,4324.1136018019115,2729.3977420441756,0.0,0.0,0,0.0,0.0,0.09074207349206857,22.761834853538,13.997412861928863
dp_high_strength,3,0.001508,0.0049999999,0.004178799700000004,40173304.0,0.060293276,12485.602316495526,6988.670388701518,0.0,0.0,0,0.0,0.0,0.2015477284919966,49.09910626599672,33.275731462486554
dp_high_strength,4,0.002011,0.005033465600000002,0.005033465600000002,36138576.0,0.054304376,17866.00828653646,14724.878595975735,0.0,0.0,0,0.0,0.0,0.30096597662735647,64.93693479144147,62.26200742191653
dp_high_strength,5,0.002513,0.005298285466809479,0.005298285466809479,39844872.0,0.059897043,18768.47147000286,15721.859998892762,0.0,0.0,0,0.0,0.0,0.37850604787515557,67.05820411694513,100.21638885627763
dp_high_strength,6,0.003016,0.005132056702989604,0.005132056702989604,18608866.0,0.028087361,16823.161213075677,17015.30805749253,0.0,0.0,0,0.0,0.0,0.44505812627851266,62.6969966206552,142.06517427049138
dp_high_strength,7,0.003519,0.005336851685407058,0.005336851685407058,27789178.0,0.041647065,16430.046407907477,11436.126095262272,0.0,0.0,0,0.0,0.0,0.5208868200752088,63.158328996306295,181.6015471935012
dp_high_strength,8,0.004022,0.005641657163125397,0.005641657163125397,39175568.0,0.058772914,20550.341385275642,9089.03483290294,0.0,0.0,0,0.0,0.0,0.6194925874987446,75.58299109474689,215.27653838859197
dp_high_strength,9,0.004524,0.00567669656243953,0.00567669656243953,33745132.0,0.050707553,29247.483959025078,8852.508753224532,0.0,0.0,0,0.0,0.0,0.7377551528413415,98.40808487046205,243.77913724836117
dp_high_strength,10,0.005027,0.0058696875,0.0058696875,28217100.0,0.04240578,37970.969229712784,12641.06805633326,0.0,0.0,0,0.0,0.0,0.857316968891089,122.66009668134076,270.8306329632471
dp_high_strength,11,0.00553,0.005815857600000001,0.005815857600000001,24855276.0,0.037341122,44233.46419639505,13198.708915730163,0.0,0.0,0,0.0,0.0,0.9594586561166246,139.31081785533988,300.04239926121613
dp_high_strength,12,0.006032,0.005534289930643178,0.005534289930643178,20437690.0,0.030697737,45374.10480389952,16040.653185079615,0.0,0.0,0,0.0,0.0,1.038537859175914,145.66138292649472,332.46937186332934
dp_high_strength,13,0.006535,0.005176112965535912,0.005176112965535912,14652438.0,0.021973256,44288.6757854168,15121.825222830414,0.0,0.0,0,0.0,0.0,1.1041038269649914,146.23631750065508,366.3907962428743
dp_high_strength,14,0.007038,0.0050625196000000025,0.0050625196000000025,13242881.0,0.020030981,43514.070335400145,15989.725157819217,0.0,0.0,0,0.0,0.0,1.1730561556607768,149.01718630245765,398.79983953894174
dp_high_strength,15,0.00754,0.0049999999,0.004958898800000002,19545976.0,0.029305076,46016.10895562662,14010.221696163217,0.0,0.0,0,0.0,0.0,1.2569769962571333,159.27731185908297,427.9310399017943
dp_high_strength,16,0.008043,0.0049999999,0.004762010600000001,22725040.0,0.034280945,50843.84554715454,16040.885008011028,0.0,0.0,0,0.0,0.0,1.3547459759119824,175.9869831204014,454.73458765355065
dp_high_strength,17,0.008546,0.0049999999,0.004583243100951082,20386982.0,0.030679911,56996.46702939743,15456.316132192069,0.0,0.0,0,0.0,0.0,1.4561768999451714,193.7824885059215,481.8521060494722
dp_high_strength,18,0.009049,0.0049999999,0.004461203408916946,12981077.0,0.019634442,60945.076905148875,17958.226917383377,0.0,0.0,0,0.0,0.0,1.5504897977289351,207.2370496563063,511.7048105892507
dp_high_strength,19,0.009551,0.0049999999,0.0043673817995875846,10061321.0,0.015191474,63178.756596838866,16269.638785753732,0.0,0.0,0,0.0,0.0,1.6335460267016353,214.44846264420974,544.9503890926538
dp_high_strength,20,0.010054,0.0049999999,0.004280093155342581,12841497.0,0.019417938,63524.757626420855,17496.319577489594,0.0,0.0,0,0.0,0.0,1.7103176059681582,218.22540835178555,580.0135582954183
dp_high_strength,21,0.010557,0.0049999999,0.004189246356251513,20716758.0,0.031109193,65004.580441387916,15730.174182109899,0.0,0.0,0,0.0,0.0,1.7903798208483674,223.73374955609316,614.2253706658595
dp_high_strength,22,0.011059,0.0049999999,0.00408822200994145,25910272.0,0.038986128,68017.62501951022,17965.712116442854,0.0,0.0,0,0.0,0.0,1.880290298210044,234.56403618759222,645.6789304114867
dp_high_strength,23,0.011562,0.0049999999,0.004010461724900573,25399832.0,0.038174681,73418.9315643022,17311.3413722218,0.0,0.0,0,0.0,0.0,1.9785526929181267,250.14045386757616,674.4441233509716
dp_high_strength,24,0.012065,0.0049999999,0.004002817606436238,20177554.0,0.030412164,78319.72288060629,19763.238319146476,0.0,0.0,0,0.0,0.0,2.0771889129455072,266.4719833958722,702.2749690093856
dp_high_strength,25,0.012567,0.0049999999,0.004084883441011516,13824810.0,0.020817481,82520.42739432758,18027.692537527302,0.0,0.0,0,0.0,0.0,2.168536629788214,279.5432923212939,731.1294745401716
dp_high_strength,26,0.01307,0.0049999999,0.004235263400619738,10991119.0,0.016621804,84233.62489780258,19454.259286275043,0.0,0.0,0,0.0,0.0,2.250656563572866,288.06561900338244,761.911962477727
dp_high_strength,27,0.013573,0.0049999999,0.0044055305320602626,11851380.0,0.017872404,85468.83332132407,17511.568933231647,0.0,0.0,0,0.0,0.0,2.327802895515161,293.8831860185666,794.1130121883656
dp_high_strength,28,0.014075,0.0049999999,0.004545616301324495,12295161.0,0.018587852,86558.5955869995,19356.43621989342,0.0,0.0,0,0.0,0.0,2.407066634105953,300.42771767868135,826.3469340470882
dp_high_strength,29,0.014578,0.0049999999,0.004633064882996036,14890679.0,0.022410337,89541.40435696066,17967.067360257355,0.0,0.0,0,0.0,0.0,2.4933675619309055,310.21054058963233,857.4567638698552
dp_high_strength,30,0.015081,0.0049999999,0.004802258502187508,18560780.0,0.027917558,93230.70931478795,20116.92414912235,0.0,0.0,0,0.0,0.0,2.5863003566185045,323.1448567447172,887.3576684701467
dp_high_strength,31,0.015584,0.0049999999,0.004939828514618008,20053532.0,0.030123683,97957.406851259,18450.26066034674,0.0,0.0,0,0.0,0.0,2.68119241634011,336.97637210527415,916.9521966455277
dp_high_strength,32,0.016086,0.005004610260494313,0.005004610260494313,18716034.0,0.028183442,101394.72435447824,20241.716928543286,0.0,0.0,0,0.0,0.0,2.7730856665171593,349.2568455914662,947.2823697577646
dp_high_strength,33,0.016589,0.0049999999,0.004989404191163625,16300621.0,0.024511045,104493.03647042926,18418.191296022833,0.0,0.0,0,0.0,0.0,2.8599905986515597,359.00970330479953,978.7575816152831
dp_high_strength,34,0.017092,0.0049999999,0.004950389079021098,14592917.0,0.02201852,106330.59416146901,20312.418130736427,0.0,0.0,0,0.0,0.0,2.9436284102480066,367.141657842965,1010.9308869579121
dp_high_strength,35,0.017594,0.0049999999,0.004843428589033598,14558360.0,0.021901878,108855.78672066031,18784.643433656984,0.0,0.0,0,0.0,0.0,3.0276557613716166,375.5812148614909,1042.8494457175927
dp_high_strength,36,0.018097,0.004691603396916086,0.004691603396916086,15200322.0,0.022936625,111458.97791005751,20929.95221483014,0.0,0.0,0,0.0,0.0,3.1147973110552334,385.8049189009095,1073.7439175945835
dp_mild_yield,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,-0.0,0.0
dp_mild_yield,1,0.000503,0.0049999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,-0.0,0.0
dp_mild_yield,2,0.001005,0.0049999999,0.0024198727000000015,32690302.0,0.049062062,4324.1136018019115,2729.3977420441756,0.0,0.0,0,0.0,0.0,0.09074207349206857,22.761834853538,13.997412861928863
dp_mild_yield,3,0.001508,0.0049999999,0.004161978600000002,40137892.0,0.060240835,12481.597657652368,6989.500374114793,1.7767963e-05,1.0636410154545453e-06,41,0.10073710073710074,0.035323982107355864,0.19702601798965613,49.091620658084345,30.888117948761717
dp_mild_yield,4,0.002011,0.005007021484211964,0.005007021484211964,40091504.0,0.060249444,17385.482138634547,14812.948882568786,7.018396e-05,9.051447481572486e-06,95,0.2334152334152334,0.10420675347912522,0.26007672528655784,63.975371829533195,42.011930297395594
dp_mild_yield,5,0.002513,0.005367293621526564,0.005367293621526564,51419936.0,0.077252902,16058.359237571052,16672.67318872272,0.00013190215,2.151784880882064e-05,116,0.28501228501228504,0.12294460159362555,0.27271441188390333,61.23794179636362,52.822576317862385
dp_mild_yield,6,0.003016,0.0052043618342215775,0.0052043618342215775,47685316.0,0.071680687,9174.707908529856,21565.744848971557,0.00018835922,3.7323394227272736e-05,153,0.3759213759213759,0.11224069582504967,0.2452786502788127,45.62640698737099,61.684754941547965
dp_mild_yield,7,0.003519,0.0049999999,0.00474186227587011,36993092.0,0.055640396,1167.4625661028556,21203.11361629322,0.0002522337,5.333279434619165e-05,198,0.4864864864864865,0.12698703777335987,0.2121615396483197,29.12929035496316,68.86125703094599
dp_mild_yield,8,0.004021,0.0049999999,0.004395802590991982,22606938.0,0.034125105,-2654.6897602526255,22612.374191994415,0.00030496734,6.528803637911547e-05,235,0.5773955773955773,0.10504709163346608,0.21496561158145322,23.738985007458623,78.43432141534763
dp_mild_yield,9,0.004524,0.0049999999,0.0043603168,23073608.0,0.034656417,-497.23779412844516,20469.93133696769,0.00034415023,7.24500787328747e-05,312,0.7665847665847666,0.0778983896620278,0.2685563425429183,34.42653133270269,90.83376771556503
dp_mild_yield,10,0.005027,0.0049999999,0.0043282597,26460198.0,0.039757796,5939.857613478424,20999.384784605085,0.0003771442,7.714829932457004e-05,333,0.8181818181818182,0.0655943737574553,0.3531803596338327,55.5797735834316,103.99833975384519
dp_mild_yield,11,0.00553,0.0049999999,0.004326682500000001,17893862.0,0.026895836,12446.15827782303,20041.0710766854,0.00040582451,8.25064142523341e-05,341,0.8378378378378378,0.05701850894632209,0.4335620349445301,75.9208826984112,116.13047928039332
dp_mild_yield,12,0.006032,0.0049999999,0.004428571600000001,10253961.0,0.01549706,14891.880894968745,22216.59860423197,0.00043803279,9.054522312063885e-05,341,0.8378378378378378,0.06415992031872514,0.4837401837606574,86.57907906487306,126.76351946165852
dp_mild_yield,13,0.006535,0.0049999999,0.0046205404,21215348.0,0.031898942,12810.626610855961,21482.668859355483,0.00047803822,0.00010324113142088447,341,0.8378378378378378,0.07953365805168983,0.49003917866201335,84.7986487770598,132.77588547691656
dp_mild_yield,14,0.007038,0.0049999999,0.004803752100000001,28734752.0,0.043258458,7066.351811078157,23644.439256525464,0.00052573252,0.00012275524757272732,347,0.8525798525798526,0.09481968190854866,0.4497725182534654,73.85022454294841,127.83639500867324
dp_mild_yield,15,0.00754,0.0049999999,0.0048808889,29433380.0,0.044266094,214.49561546511717,22941.839907514142,0.00057754543,0.00014473649982309575,371,0.9115479115479116,0.10321296812749003,0.3940691233642917,60.12306683001636,118.87556276603189
dp_mild_yield,16,0.008043,0.0049999999,0.00482242,22873462.0,0.034458883,-4969.794445336938,25155.512939382003,0.00062839763,0.0001652381792381819,399,0.9803439803439803,0.10109781312127249,0.3525004789263597,50.241410159334954,111.64519697229969
dp_mild_yield,17,0.008546,0.0049999999,0.004663877200000001,15077375.0,0.022694856,-7362.643670041535,23915.174554410296,0.00067399483,0.00018159128602793608,407,1.0,0.09065049701789252,0.34387054687685353,48.31504521742664,109.95642323774189
dp_mild_yield,18,0.009048,0.0049999999,0.004475016600000001,11949557.0,0.017963381,-6652.559868047849,25352.895110599504,0.00071280764,0.0001935347616798526,407,1.0,0.07731635458167332,0.3685267324417372,54.31654180907285,114.0346910517468
dp_mild_yield,19,0.009551,0.0049999999,0.004330928900000001,14203595.0,0.021296104,-4463.427499494135,23081.716389081073,0.00074679102,0.00020313234561105658,407,1.0,0.06756139165009944,0.4101271622605886,64.57257915303026,120.72034850386963
dp_mild_yield,20,0.010054,0.0049999999,0.0042877225000000005,11910697.0,0.017930053,-2749.395804900243,24091.70768694194,0.0007803248,0.00021257500537272747,407,1.0,0.06666755467196821,0.4500461922349781,74.14103226289933,127.54537198525813
