case,time,part,specimen_axial_strain_proxy,top_reaction_fz,bottom_reaction_fz,reaction_force_avg_compression,top_axial_stress,bottom_axial_stress,reaction_axial_stress_avg,Fz_proxy,axial_stress_proxy,reaction_over_proxy_force,force_balance_error,p_eff_proxy,q_proxy,kplastic_max,kplastic_nonzero_count
dp_high_strength,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,nan,0.0,-0.0,0.0,0.0,0
dp_high_strength,0.000503,1,0.0,0.433946,0.0,0.216973,153.477,-0.0,76.7385,-0.0,-0.0,nan,1.0,-0.0,0.0,0.0,0
dp_high_strength,0.001005,2,-4.130368580074206e-06,0.66218,-0.00102458,0.33160229,234.198,0.362372,117.280186,0.09074207349206857,32.093443428157244,3.65433891070369,0.99691,22.761834853538,13.997412861928863,0.0,0
dp_high_strength,0.001508,3,-1.5789309509989247e-05,0.928777,-0.0147913,0.47178414999999996,328.488,5.23136,166.85968,0.2015477284919966,71.28292724098776,2.3408060886120796,0.968648,49.09910626599672,33.275731462486554,0.0,0
dp_high_strength,0.002011,4,-3.286903220003912e-05,0.95582,-0.0781018,0.5169609,338.052,27.6229,182.83745000000002,0.30096597662735647,106.44493973938583,1.7176722292436377,0.848921,64.93693479144147,62.26200742191653,0.0,0
dp_high_strength,0.002513,5,-5.359551459999112e-05,0.95582,-0.0781018,0.5169609,338.052,27.6229,182.83745000000002,0.37850604787515557,133.86913002113022,1.3657929718748156,0.848921,67.05820411694513,100.21638885627763,0.0,0
dp_high_strength,0.003016,6,-7.64962012000936e-05,0.979352,-0.200367,0.5898595,346.375,70.8652,208.6201,0.44505812627851266,157.4071128009828,1.3253538474452484,0.660315,62.6969966206552,142.06517427049138,0.0,0
dp_high_strength,0.003519,7,-0.00010027276390003892,0.979352,-0.200367,0.5898595,346.375,70.8652,208.6201,0.5208868200752088,184.2260271253071,1.1324139472656123,0.660315,63.158328996306295,181.6015471935012,0.0,0
dp_high_strength,0.004022,8,-0.00012478793029999102,1.10225,-0.444873,0.7735615,389.841,157.342,273.5915,0.6194925874987446,219.1006833538082,1.248701785316467,0.424903,75.58299109474689,215.27653838859197,0.0,0
dp_high_strength,0.004524,9,-0.00014879351629998316,1.10225,-0.444873,0.7735615,389.841,157.342,273.5915,0.7377551528413415,260.9275097027028,1.0485341878274335,0.424903,98.40808487046205,243.77913724836117,0.0,0
dp_high_strength,0.005027,10,-0.0001707071159999518,1.04649,-0.867504,0.956997,370.121,306.817,338.469,0.857316968891089,303.2138519901722,1.1162697517090368,0.093516,122.66009668134076,270.8306329632471,0.0,0
dp_high_strength,0.00553,11,-0.0001916568670000396,1.04649,-0.867504,0.956997,370.121,306.817,338.469,0.9594586561166246,339.33908402948396,0.9974343280964413,0.093516,139.31081785533988,300.04239926121613,0.0,0
dp_high_strength,0.006032,12,-0.00020927541300008734,0.96989,-1.37564,1.172765,343.028,486.534,414.781,1.038537859175914,367.30763083538096,1.1292462664101586,0.172989,145.66138292649472,332.46937186332934,0.0,0
dp_high_strength,0.006535,13,-0.0002246670940000972,0.96989,-1.37564,1.172765,343.028,486.534,414.781,1.1041038269649914,390.49684832923793,1.0621872430455634,0.172989,146.23631750065508,366.3907962428743,0.0,0
dp_high_strength,0.007038,14,-0.00023956803999997112,1.07778,-1.78112,1.42945,381.188,629.944,505.566,1.1730561556607768,414.8837459950855,1.2185691137648886,0.246017,149.01718630245765,398.79983953894174,0.0,0
dp_high_strength,0.00754,15,-0.0002545982150001236,1.07778,-1.78112,1.42945,381.188,629.944,505.566,1.2569769962571333,444.5646717936125,1.1372125379035853,0.246017,159.27731185908297,427.9310399017943,0.0,0
dp_high_strength,0.008043,16,-0.0002704515690001019,1.28167,-2.01052,1.646095,453.3,711.075,582.1875,1.3547459759119824,479.1433748894351,1.2150580472415786,0.221385,175.9869831204014,454.73458765355065,0.0,0
dp_high_strength,0.008546,17,-0.0002875615580000268,1.28167,-2.01052,1.646095,453.3,711.075,582.1875,1.4561768999451714,515.0172258722363,1.130422409572614,0.221385,193.7824885059215,481.8521060494722,0.0,0
dp_high_strength,0.009049,18,-0.0003061589070001147,1.51402,-2.0823,1.79816,535.475,736.462,635.9685,1.5504897977289351,548.37359004914,1.1597367506924827,0.158016,207.2370496563063,511.7048105892507,0.0,0
dp_high_strength,0.009551,19,-0.00032600826400011607,1.51402,-2.0823,1.79816,535.475,736.462,635.9685,1.6335460267016353,577.7487220393123,1.1007709428492467,0.158016,214.44846264420974,544.9503890926538,0.0,0
dp_high_strength,0.010054,20,-0.00034604541400015676,1.82257,-2.04577,1.93417,644.604,723.545,684.0745,1.7103176059681582,604.9011138820642,1.1308835231834766,0.0576989,218.22540835178555,580.0135582954183,0.0,0
dp_high_strength,0.010557,21,-0.00036568113300008975,1.82257,-2.04577,1.93417,644.604,723.545,684.0745,1.7903798208483674,633.2173299999994,1.080312667444776,0.0576989,223.73374955609316,614.2253706658595,0.0,0
dp_high_strength,0.011059,22,-0.0003845246600001073,2.22569,-2.00401,2.11485,787.176,708.774,747.975,1.880290298210044,665.0166564619167,1.124746536220097,0.0524095,234.56403618759222,645.6789304114867,0.0,0
dp_high_strength,0.011562,23,-0.0004030105539999662,2.22569,-2.00401,2.11485,787.176,708.774,747.975,1.9785526929181267,699.7698694348906,1.0688873779150412,0.0524095,250.14045386757616,674.4441233509716,0.0,0
dp_high_strength,0.012065,24,-0.000421195037000055,2.59858,-2.09171,2.345145,919.06,739.79,829.425,2.0771889129455072,734.6552960687959,1.1289993824752917,0.108068,266.4719833958722,702.2749690093856,0.0,0
dp_high_strength,0.012567,25,-0.00043884202500010794,2.59858,-2.09171,2.345145,919.06,739.79,829.425,2.168536629788214,766.9629420147417,1.081441266790607,0.108068,279.5432923212939,731.1294745401716,0.0,0
