case,time,frame_index,r_over_R_min,r_over_R_max,r_over_R_mid,excess_count,excess_mean,excess_median,excess_p95_abs,excess_p99_abs,excess_max,excess_maxAbs
mode7_shell_exchange_dp008,0.0,0,0.0,0.2,0.1,7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode7_shell_exchange_dp008,0.0,0,0.2,0.4,0.30000000000000004,74,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode7_shell_exchange_dp008,0.0,0,0.4,0.6,0.5,170,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode7_shell_exchange_dp008,0.0,0,0.6,0.8,0.7,240,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode7_shell_exchange_dp008,0.0,0,0.8,0.9,0.8500000000000001,248,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode7_shell_exchange_dp008,0.0,0,0.9,0.95,0.925,156,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode7_shell_exchange_dp008,0.0,0,0.95,1.0,0.975,126,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode7_shell_exchange_dp008,0.001046,1,0.0,0.2,0.1,7,907.6585742640715,908.407489333,908.4075045278801,908.4075066910959,908.4075072319,908.4075072319
mode7_shell_exchange_dp008,0.001046,1,0.2,0.4,0.30000000000000004,74,898.0108832356416,896.2819244974,909.7326237391949,909.732633707129,909.7326367605,909.7326367605
mode7_shell_exchange_dp008,0.001046,1,0.4,0.6,0.5,170,858.7811551593549,859.4498495861501,875.641271534945,875.641300206321,875.6413053104,875.6413053104
mode7_shell_exchange_dp008,0.001046,1,0.6,0.8,0.7,234,855.676392378928,854.7446326262,863.6221031197899,863.622108401293,863.6221127419,863.6221127419
mode7_shell_exchange_dp008,0.001046,1,0.8,0.9,0.8500000000000001,254,851.4003242876936,878.8118073817,918.71058336027,918.710588406122,918.710591105,918.710591105
mode7_shell_exchange_dp008,0.001046,1,0.9,0.95,0.925,156,722.6943277747582,723.6663290668,736.8228955807,736.822899351,736.822899351,736.822899351
mode7_shell_exchange_dp008,0.001046,1,0.95,1.0,0.975,126,741.5211010834676,752.4295839602,760.416760765375,760.416765164025,760.4167657924,760.4167657924
mode7_shell_exchange_dp008,0.002011,2,0.0,0.2,0.1,7,652.8815843065,652.5653916082,654.11473395435,654.64593031839,654.7787294094,654.7787294094
mode7_shell_exchange_dp008,0.002011,2,0.2,0.4,0.30000000000000004,74,650.8925578372811,650.64607940955,651.3327452349699,651.332758448188,651.3327730368,651.3327730368
mode7_shell_exchange_dp008,0.002011,2,0.4,0.6,0.5,170,658.845502808782,658.2033025255,662.3127906116949,662.312794730993,662.312796254,662.312796254
mode7_shell_exchange_dp008,0.002011,2,0.6,0.8,0.7,234,662.0328244087099,662.9455686176,666.251049058945,666.251053150816,666.2510574811,666.2510574811
mode7_shell_exchange_dp008,0.002011,2,0.8,0.9,0.8500000000000001,254,652.5356656134014,657.37891254585,665.745024335085,665.745030813785,665.7450342813,665.7450342813
mode7_shell_exchange_dp008,0.002011,2,0.9,0.95,0.925,156,621.1432861913441,620.03393336215,631.146261309175,631.146265489075,631.1462662497,631.1462662497
mode7_shell_exchange_dp008,0.002011,2,0.95,1.0,0.975,126,617.9228511854863,622.00363809995,623.967348448025,623.967352402175,623.9673525747,623.9673525747
mode7_shell_exchange_dp008,0.003056,3,0.0,0.2,0.1,7,699.4385477890572,702.4292768206,702.42928338688,702.4292844492161,702.4292847148,702.4292847148
mode7_shell_exchange_dp008,0.003056,3,0.2,0.4,0.30000000000000004,74,735.1360549698867,739.6156626754,739.914609003035,739.914611538351,739.9146141235,739.9146141235
mode7_shell_exchange_dp008,0.003056,3,0.4,0.6,0.5,170,736.5669422564015,735.5594233551,740.38912890844,740.389139713508,740.3891488027,740.3891488027
mode7_shell_exchange_dp008,0.003056,3,0.6,0.8,0.7,234,729.1499111625997,731.82395820125,739.5370645627299,743.7042223424819,743.7042272936,743.7042272936
mode7_shell_exchange_dp008,0.003056,3,0.8,0.9,0.8500000000000001,254,693.6892491494139,711.47713392375,713.31643635673,713.316446440375,713.3164511412,713.3164511412
mode7_shell_exchange_dp008,0.003056,3,0.9,0.95,0.925,156,630.5762094706363,628.3068986354999,644.134457375575,644.134471265495,644.1344808969,644.1344808969
mode7_shell_exchange_dp008,0.003056,3,0.95,1.0,0.975,126,614.3924009909024,605.6240661951,639.40972532155,694.0542518625,694.0542861035,694.0542861035
mode7_shell_exchange_dp008,0.004021,4,0.0,0.2,0.1,7,354.172882362,356.9984719547,356.99852576879,356.998537567598,356.9985405173,356.9985405173
mode7_shell_exchange_dp008,0.004021,4,0.2,0.4,0.30000000000000004,74,437.84798288059716,447.8702801793,462.58979511696003,462.589801752537,462.5898040178,462.5898040178
mode7_shell_exchange_dp008,0.004021,4,0.4,0.6,0.5,170,441.0066621330906,448.39630555855,457.24963013284,457.24964904795604,457.2496601509,457.2496601509
mode7_shell_exchange_dp008,0.004021,4,0.6,0.8,0.7,234,409.38540548798653,408.3400707857,419.966931092835,419.96695741789404,419.9669690089,419.9669690089
mode7_shell_exchange_dp008,0.004021,4,0.8,0.9,0.8500000000000001,254,371.7251813100545,386.11048130325,407.28438641650996,407.284401090069,407.2844108164,407.2844108164
mode7_shell_exchange_dp008,0.004021,4,0.9,0.95,0.925,156,460.4433460613884,465.84389110865,523.9199576188751,523.920002111215,523.9200162113,523.9200162113
mode7_shell_exchange_dp008,0.004021,4,0.95,1.0,0.975,126,433.68238572714824,337.53839111729997,595.1877996748,696.603536009075,696.603619188,696.603619188
mode7_shell_exchange_dp008,0.005067,5,0.0,0.2,0.1,7,502.5984304236,485.0241786749,571.13799191896,600.6627041545121,608.0438822134,608.0438822134
