case,time,apparent_flux_integral,fv_boundary_flux_integral,flux_ratio
mode7_shell_exchange_dp008,0.0,89.69278041648077,4099.121912940717,0.021880974101630223
mode7_shell_exchange_dp008,0.001046,92.6902897589076,40.911894663194644,2.2656073624058797
mode7_shell_exchange_dp008,0.002011,44.991556543062536,28.31435651466818,1.5890015554390147
mode7_shell_exchange_dp008,0.003056,81.22209918984673,22.16214126966638,3.6649030525320447
mode7_shell_exchange_dp008,0.004021,90.77949300772285,18.773003760823045,4.835640271759201
mode7_shell_exchange_dp008,0.005067,-141.59172144711818,16.257156810968123,-8.709500873583952
mode7_shell_exchange_dp008,0.006032,-281.6049660517734,14.543623870330425,-19.36277839433532
mode7_shell_exchange_dp010,0.0,44.51054878057555,4099.121912940717,0.010858556960713472
mode7_shell_exchange_dp010,0.001005,64.68999747029322,41.82437749194429,1.5467055662156126
mode7_shell_exchange_dp010,0.002011,33.92288620679,28.31435651466818,1.1980807753556515
mode7_shell_exchange_dp010,0.003016,22.804953391410155,22.33685316422298,1.0209564088435221
mode7_shell_exchange_dp010,0.004022,73.30259564732366,18.770138847466768,3.905277219471215
mode7_shell_exchange_dp010,0.005027,58.77821116751006,16.338665295316975,3.597491600758674
mode7_shell_exchange_dp010,0.006032,33.60442442349329,14.543623870330425,2.310594988092869
