case,material_particle_count,surface_count_r085,surface_roughness_std,max_surface_radius_abs_error
mode7_shell_exchange_dp008,1213,594,0.0030329980486193614,0.006918682100009968
mode7_shell_exchange_dp010,739,398,0.0035767684065295575,0.006411011986970819
