case,label,feedback,p0,ramp_end,damping_xi,reversal_time_all,reversal_time_center_core,first_axial_loading_time,reversal_before_axial
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,1,50.0,0.001,0.05,0.001404,0.001404,,
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0,50.0,0.001,0.05,nan,nan,,
CaseT4d_ConfOnly_Raw_P0Low_FeedbackOn,low p0,1,12.5,0.001,0.05,0.001504,0.001407,,
CaseT4d_ConfOnly_Raw_LongRampDamped_FeedbackOn,long ramp + damping,1,50.0,0.0018,0.2,0.001588,0.001405,,
