case,label,code,excluded,steps,part_files,dtmin_adjusted,feedback,p0,ramp_end,damping_xi,final_time,final_porepress_mean,final_porepressrate_mean,max_porepressrate_abs,max_divvel_abs,max_velocity,reversal_time_all,reversal_time_center_core,pressure_reversal,final_kplastic_max,max_lateral_accel_mean,max_cap_axial_leakage
CaseT4d_ConfOnly_Raw_FeedbackOn,feedback on,0,0.0,59.0,12.0,85.0,1,50.0,0.001,0.05,0.001754,-119019018.29041608,-1065552704054.0541,3120871500000.0,4682.0146,215.04752770555092,0.001404,0.001404,1,0.0,1.50592,0.0
CaseT4d_ConfOnly_Raw_FeedbackOff,feedback off,0,0.0,14.0,12.0,0.0,0,50.0,0.001,0.05,0.00181,9419.875766981275,8532819.88918919,21142338.0,0.03172113,0.0007569578627476182,nan,nan,0,0.0,1.50592,0.0
