frame,center_x,center_z,center_porepress,center_excess,porepress_min,porepress_max,excess_min,excess_max,particle_rows
0000,0.045000002,0.235,8504.650321007,1000.0,0.0,10760.95041752,0.0,1000.0,540
0001,0.045000002,0.22500008,7930.273923559,327.5243511893,0.0,10296.64238535,0.0,536.37569229,540
