step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,yield_f_normalized,return_status,yield_flag,iterations,residual,pore_pressure_proxy
21,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,139.375,139.375,139.375,0,0,0,-139.375,-139.375,-139.375,139.375,0,160,0.78306632728783543,0,0,0,-4139.4375,0.12890625,elastic,0,0,-4139.4375,0
22,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,141.25,141.25,141.25,0,0,0,-141.25,-141.25,-141.25,141.25,0,160,0.78226394744055594,0,0,0,-3813.75,0.1171875,elastic,0,0,-3813.75,0
23,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,143.125,143.125,143.125,0,0,0,-143.125,-143.125,-143.125,143.125,0,160,0.78146192866420772,0,0,0,-3477.9375,0.10546875,elastic,0,0,-3477.9375,0
24,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,145,145,145,0,0,0,-145,-145,-145,145,0,160,0.78066027079630884,0,0,0,-3131.9999999999995,0.093749999999999986,elastic,0,0,-3131.9999999999995,0
25,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,146.875,146.875,146.875,0,0,0,-146.875,-146.875,-146.875,146.875,0,160,0.77985897367445045,0,0,0,-2775.9375,0.08203125,elastic,0,0,-2775.9375,0
26,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,148.75,148.75,148.75,0,0,0,-148.75,-148.75,-148.75,148.75,0,160,0.77905803713629695,0,0,0,-2409.75,0.0703125,elastic,0,0,-2409.75,0
27,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,150.625,150.625,150.625,0,0,0,-150.625,-150.625,-150.625,150.625,0,160,0.77825746101958559,0,0,0,-2033.4375,0.05859375,elastic,0,0,-2033.4375,0
28,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,152.5,152.5,152.5,0,0,0,-152.5,-152.5,-152.5,152.5,0,160,0.77745724516212678,0,0,0,-1647,0.046875,elastic,0,0,-1647,0
29,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,154.375,154.375,154.375,0,0,0,-154.375,-154.375,-154.375,154.375,0,160,0.77665738940180384,0,0,0,-1250.4375,0.03515625,elastic,0,0,-1250.4375,0
30,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,156.25,156.25,156.25,0,0,0,-156.25,-156.25,-156.25,156.25,0,160,0.77585789357657298,0,0,0,-843.75,0.0234375,elastic,0,0,-843.75,0
31,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,158.125,158.125,158.125,0,0,0,-158.125,-158.125,-158.125,158.125,0,160,0.77505875752446352,0,0,0,-426.9375,0.01171875,elastic,0,0,-426.9375,0
32,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,160,160,160,0,0,0,-160,-160,-160,160,0,160,0.77425998108357752,0,0,0,0,0,elastic,0,0,0,0
33,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,160.56067098038108,160.56067098038108,160.56067098038108,0,0,0,-160.56067098038108,-160.56067098038108,-160.56067098038108,160.56067098038108,0,160.560670985488,0.77346156409208988,0.00031543922420217092,0.00031543922420217092,1.3643130380340584e-06,-1.1807590110035976e-06,3.1806832930800931e-11,plastic_converged,1,3,-1.1807590110035976e-06,0
34,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,161.1225399215468,161.1225399215468,161.1225399215468,0,0,0,-161.1225399215468,-161.1225399215468,-161.1225399215468,161.1225399215468,0,161.12253992676344,0.77266350638824843,0.00063059094587246758,0.00063059094587246758,1.3583162379682536e-06,-1.2103449953712856e-06,3.237681231977376e-11,plastic_converged,1,3,-1.2103449953712856e-06,0
35,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,161.68560641321687,161.68560641321687,161.68560641321687,0,0,0,-161.68560641321687,-161.68560641321687,-161.68560641321687,161.68560641321687,0,161.68560641854529,0.77186580781037373,0.00094545526370819069,0.00094545526370819069,1.352351524248851e-06,-1.2406007586004121e-06,3.2955418462485256e-11,plastic_converged,1,3,-1.2406007586004121e-06,0
36,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,162.24987004081845,162.24987004081845,162.24987004081845,0,0,0,-162.24987004081845,-162.24987004081845,-162.24987004081845,162.24987004081845,0,162.2498700462599,0.77106846819685904,0.0012600322774433193,0.0012600322774433191,1.3464187027740081e-06,-1.2713393497013097e-06,3.3537468817307088e-11,plastic_converged,1,3,-1.2713393497013097e-06,0
37,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,162.81533038201877,162.81533038201877,162.81533038201877,0,0,0,-162.81533038201877,-162.81533038201877,-162.81533038201877,162.81533038201877,0,162.8153303875753,0.77027148738617046,0.0015743220886799386,0.0015743220886799384,1.3405175842723725e-06,-1.3027509786346961e-06,3.4127802618741012e-11,plastic_converged,1,3,-1.3027509786346961e-06,0
38,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,163.38198700675451,163.38198700675451,163.38198700675451,0,0,0,-163.38198700675451,-163.38198700675451,-163.38198700675451,163.38198700675451,0,163.38198701243002,0.76947486521684672,0.0018883248008816189,0.0018883248008816187,1.334647980670627e-06,-1.3352758761835786e-06,3.4737628292010901e-11,plastic_converged,1,3,-1.3352758761835786e-06,0
