path,step,yield_flag,return_status,iterations,residual,yield_f,plastic_multiplier
isotropic,70,1,plastic_converged,3,-2.8789900753427074e-06,-2.8789900753427074e-06,1.1623946827009128e-06
isotropic,71,1,plastic_converged,3,-2.947691090107255e-06,-2.947698569544487e-06,1.1574669245814132e-06
isotropic,72,1,plastic_converged,3,-3.017839083723047e-06,-3.0178315794420873e-06,1.1525649435874383e-06
isotropic,73,1,plastic_converged,3,-3.089460551078947e-06,-3.0894680802517895e-06,1.14768858882658e-06
isotropic,74,1,plastic_converged,3,-3.1629901475401868e-06,-3.1629825934273327e-06,1.142837710337227e-06
isotropic,75,1,plastic_converged,3,-3.2376479299434903e-06,-3.237640350842524e-06,1.1380121591143138e-06
isotropic,76,1,plastic_converged,3,-3.3146966124514607e-06,-3.3147042165886094e-06,1.133211787069411e-06
isotropic,77,1,plastic_converged,3,-3.392943622249205e-06,-3.392943622249205e-06,1.1284364470413401e-06
isotropic,78,1,plastic_converged,3,-3.472818506746883e-06,-3.472818506746883e-06,1.123685992791381e-06
isotropic,79,1,plastic_converged,3,-3.5547870979328183e-06,-3.5547870979328183e-06,1.11896027898681e-06
isotropic,80,1,plastic_converged,3,-3.6384582908788963e-06,-3.6384505861168805e-06,1.114259161207936e-06
isotropic,81,1,plastic_converged,3,-3.7243169059576536e-06,-3.7243323660338923e-06,1.1095824959356246e-06
isotropic,82,1,plastic_converged,3,-3.81196987550006e-06,-3.81196987550006e-06,1.1049301405386406e-06
isotropic,83,1,plastic_converged,3,-3.901423412813108e-06,-3.901415632079128e-06,1.1003019532798257e-06
isotropic,84,1,plastic_converged,3,-3.993214494329556e-06,-3.993214494329556e-06,1.095697793315331e-06
isotropic,85,1,plastic_converged,3,-4.086892351888497e-06,-4.086892351888497e-06,1.0911175206632228e-06
isotropic,86,1,plastic_converged,3,-4.182503015543984e-06,-4.182510872680428e-06,1.0865609962212893e-06
isotropic,87,1,plastic_converged,3,-4.280077206836055e-06,-4.2800693241365985e-06,1.0820280817556676e-06
isotropic,88,1,plastic_converged,3,-4.380167849618278e-06,-4.380175757928455e-06,1.077518639886398e-06
isotropic,89,1,plastic_converged,3,-4.482311414342618e-06,-4.482295546405469e-06,1.0730325340981574e-06
isotropic,90,1,plastic_converged,3,-4.5865475871930185e-06,-4.5865475871930185e-06,1.0685696287173956e-06
isotropic,91,0,elastic,0,-347.82019637285384,-347.82019637285384,0.0
isotropic,92,0,elastic,0,-691.14038815916,-691.14038815916,0.0
isotropic,93,0,elastic,0,-1029.9605799454662,-1029.9605799454662,0.0
isotropic,94,0,elastic,0,-1364.2807717317726,-1364.2807717317726,0.0
isotropic,95,0,elastic,0,-1694.1009635180787,-1694.1009635180787,0.0
isotropic,96,0,elastic,0,-2019.421155304385,-2019.421155304385,0.0
isotropic,97,0,elastic,0,-2340.2413470906913,-2340.2413470906913,0.0
isotropic,98,0,elastic,0,-2656.561538876997,-2656.561538876997,0.0
isotropic,99,0,elastic,0,-2968.381730663304,-2968.381730663304,0.0
isotropic,100,0,elastic,0,-3275.70192244961,-3275.70192244961,0.0
isotropic,101,0,elastic,0,-3578.522114235916,-3578.522114235916,0.0
isotropic,102,0,elastic,0,-3876.842306022222,-3876.842306022222,0.0
isotropic,103,0,elastic,0,-4170.662497808528,-4170.662497808528,0.0
isotropic,104,0,elastic,0,-4459.9826895948345,-4459.9826895948345,0.0
isotropic,105,0,elastic,0,-4744.802881381142,-4744.802881381142,0.0
isotropic,106,0,elastic,0,-5025.123073167447,-5025.123073167447,0.0
isotropic,107,0,elastic,0,-5300.943264953753,-5300.943264953753,0.0
isotropic,108,0,elastic,0,-5572.26345674006,-5572.26345674006,0.0
isotropic,109,0,elastic,0,-5839.083648526366,-5839.083648526366,0.0
isotropic,110,0,elastic,0,-6101.403840312678,-6101.403840312678,0.0
isotropic,111,0,elastic,0,-6359.224032098984,-6359.224032098984,0.0
isotropic,112,0,elastic,0,-6612.54422388529,-6612.54422388529,0.0
isotropic,113,0,elastic,0,-6861.364415671596,-6861.364415671596,0.0
isotropic,114,0,elastic,0,-7105.6846074579025,-7105.6846074579025,0.0
isotropic,115,0,elastic,0,-7345.504799244209,-7345.504799244209,0.0
isotropic,116,0,elastic,0,-7580.824991030514,-7580.824991030514,0.0
isotropic,117,0,elastic,0,-7811.645182816821,-7811.645182816821,0.0
isotropic,118,0,elastic,0,-8037.965374603126,-8037.965374603126,0.0
isotropic,119,0,elastic,0,-8259.785566389433,-8259.785566389433,0.0
isotropic,120,0,elastic,0,-8477.10575817574,-8477.10575817574,0.0
isotropic,121,0,elastic,0,-8689.925949962046,-8689.925949962046,0.0
isotropic,122,0,elastic,0,-8898.246141748352,-8898.246141748352,0.0
isotropic,123,0,elastic,0,-9102.066333534658,-9102.066333534658,0.0
isotropic,124,0,elastic,0,-9301.386525320964,-9301.386525320964,0.0
isotropic,125,0,elastic,0,-9496.20671710727,-9496.20671710727,0.0
isotropic,126,0,elastic,0,-9686.526908893577,-9686.526908893577,0.0
isotropic,127,0,elastic,0,-9872.347100679883,-9872.347100679883,0.0
isotropic,128,0,elastic,0,-10053.667292466187,-10053.667292466187,0.0
isotropic,129,0,elastic,0,-10230.487484252495,-10230.487484252495,0.0
isotropic,130,0,elastic,0,-10402.807676038801,-10402.807676038801,0.0
isotropic,131,0,elastic,0,-10570.627867825107,-10570.627867825107,0.0
isotropic,132,0,elastic,0,-10733.948059611414,-10733.948059611414,0.0
isotropic,133,0,elastic,0,-10892.768251397718,-10892.768251397718,0.0
isotropic,134,0,elastic,0,-11047.088443184026,-11047.088443184026,0.0
isotropic,135,0,elastic,0,-11196.90863497033,-11196.90863497033,0.0
isotropic,136,0,elastic,0,-11047.088443184026,-11047.088443184026,0.0
isotropic,137,0,elastic,0,-10892.768251397718,-10892.768251397718,0.0
isotropic,138,0,elastic,0,-10733.948059611414,-10733.948059611414,0.0
isotropic,139,0,elastic,0,-10570.627867825107,-10570.627867825107,0.0
isotropic,140,0,elastic,0,-10402.807676038801,-10402.807676038801,0.0
isotropic,141,0,elastic,0,-10230.487484252495,-10230.487484252495,0.0
isotropic,142,0,elastic,0,-10053.667292466187,-10053.667292466187,0.0
isotropic,143,0,elastic,0,-9872.347100679883,-9872.347100679883,0.0
isotropic,144,0,elastic,0,-9686.526908893577,-9686.526908893577,0.0
isotropic,145,0,elastic,0,-9496.20671710727,-9496.20671710727,0.0
isotropic,146,0,elastic,0,-9301.386525320964,-9301.386525320964,0.0
isotropic,147,0,elastic,0,-9102.066333534658,-9102.066333534658,0.0
isotropic,148,0,elastic,0,-8898.246141748352,-8898.246141748352,0.0
isotropic,149,0,elastic,0,-8689.925949962046,-8689.925949962046,0.0
isotropic,150,0,elastic,0,-8477.10575817574,-8477.10575817574,0.0
isotropic,151,0,elastic,0,-8259.785566389433,-8259.785566389433,0.0
isotropic,152,0,elastic,0,-8037.965374603126,-8037.965374603126,0.0
isotropic,153,0,elastic,0,-7811.645182816821,-7811.645182816821,0.0
isotropic,154,0,elastic,0,-7580.824991030514,-7580.824991030514,0.0
isotropic,155,0,elastic,0,-7345.504799244209,-7345.504799244209,0.0
isotropic,156,0,elastic,0,-7105.6846074579025,-7105.6846074579025,0.0
isotropic,157,0,elastic,0,-6861.364415671596,-6861.364415671596,0.0
isotropic,158,0,elastic,0,-6612.54422388529,-6612.54422388529,0.0
isotropic,159,0,elastic,0,-6359.224032098984,-6359.224032098984,0.0
isotropic,160,0,elastic,0,-6101.403840312678,-6101.403840312678,0.0
isotropic,161,0,elastic,0,-5839.083648526366,-5839.083648526366,0.0
isotropic,162,0,elastic,0,-5572.26345674006,-5572.26345674006,0.0
isotropic,163,0,elastic,0,-5300.943264953753,-5300.943264953753,0.0
isotropic,164,0,elastic,0,-5025.123073167447,-5025.123073167447,0.0
isotropic,165,0,elastic,0,-4744.802881381142,-4744.802881381142,0.0
isotropic,166,0,elastic,0,-4459.9826895948345,-4459.9826895948345,0.0
isotropic,167,0,elastic,0,-4170.662497808528,-4170.662497808528,0.0
isotropic,168,0,elastic,0,-3876.842306022222,-3876.842306022222,0.0
isotropic,169,0,elastic,0,-3578.522114235916,-3578.522114235916,0.0
isotropic,170,0,elastic,0,-3275.70192244961,-3275.70192244961,0.0
isotropic,171,0,elastic,0,-2968.381730663304,-2968.381730663304,0.0
isotropic,172,0,elastic,0,-2656.561538876997,-2656.561538876997,0.0
isotropic,173,0,elastic,0,-2340.2413470906913,-2340.2413470906913,0.0
isotropic,174,0,elastic,0,-2019.421155304385,-2019.421155304385,0.0
isotropic,175,0,elastic,0,-1694.1009635180787,-1694.1009635180787,0.0
isotropic,176,0,elastic,0,-1364.2807717317726,-1364.2807717317726,0.0
isotropic,177,0,elastic,0,-1029.9605799454662,-1029.9605799454662,0.0
isotropic,178,0,elastic,0,-691.14038815916,-691.14038815916,0.0
isotropic,179,0,elastic,0,-347.82019637285384,-347.82019637285384,0.0
isotropic,180,0,elastic,0,-4.5865475871930185e-06,-4.5865475871930185e-06,0.0
drained_like,0,0,initial,0,0.0,-8640.0,0.0
drained_like,1,0,elastic,0,-8564.418639053252,-8564.418639053252,0.0
drained_like,2,0,elastic,0,-8481.674556213018,-8481.674556213018,0.0
drained_like,3,0,elastic,0,-8391.76775147929,-8391.76775147929,0.0
drained_like,4,0,elastic,0,-8294.69822485207,-8294.69822485207,0.0
drained_like,5,0,elastic,0,-8190.46597633136,-8190.46597633136,0.0
drained_like,6,0,elastic,0,-8079.071005917158,-8079.071005917158,0.0
drained_like,7,0,elastic,0,-7960.513313609466,-7960.513313609466,0.0
drained_like,8,0,elastic,0,-7834.792899408283,-7834.792899408283,0.0
drained_like,9,0,elastic,0,-7701.909763313607,-7701.909763313607,0.0
drained_like,10,0,elastic,0,-7561.863905325442,-7561.863905325442,0.0
drained_like,11,0,elastic,0,-7414.655325443784,-7414.655325443784,0.0
drained_like,12,0,elastic,0,-7260.284023668637,-7260.284023668637,0.0
drained_like,13,0,elastic,0,-7098.749999999997,-7098.749999999997,0.0
drained_like,14,0,elastic,0,-6930.053254437866,-6930.053254437866,0.0
