step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,yield_f_normalized,return_status,yield_flag,iterations,residual,pore_pressure_proxy
0,undrained_like_zero_volumetric_strain,0,0,0,0,0,0,0,100,100,100,0,0,0,-100,-100,-100,100,0,160,0.80000000000000004,0,0,0,-8640,0.375,initial,0,0,0,0
1,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,101.15384615384616,99.42307692307692,99.42307692307692,0,0,0,-101.15384615384616,-99.42307692307692,-99.42307692307692,100,1.7307692307692406,160,0.80000000000000004,0,0,0,-8637.0044378698221,0.37482125162859625,elastic,0,0,-8637.0044378698221,0
2,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,102.30769230769232,98.84615384615384,98.84615384615384,0,0,0,-102.30769230769232,-98.84615384615384,-98.84615384615384,100,3.4615384615384812,160,0.80000000000000004,0,0,0,-8628.0177514792904,0.37428528525059773,elastic,0,0,-8628.0177514792904,0
3,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,103.46153846153848,98.269230769230759,98.269230769230759,0,0,0,-103.46153846153848,-98.269230769230759,-98.269230769230759,100,5.1923076923077218,160,0.80000000000000004,0,0,0,-8613.0399408284029,0.37339293598871054,elastic,0,0,-8613.0399408284029,0
4,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,104.61538461538464,97.692307692307679,97.692307692307679,0,0,0,-104.61538461538464,-97.692307692307679,-97.692307692307679,100,6.9230769230769624,160,0.80000000000000004,0,0,0,-8592.0710059171597,0.37214559210222814,elastic,0,0,-8592.0710059171597,0
5,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,105.7692307692308,97.115384615384599,97.115384615384599,0,0,0,-105.7692307692308,-97.115384615384599,-97.115384615384599,100,8.653846153846203,160,0.80000000000000004,0,0,0,-8565.1109467455608,0.37054518959673066,elastic,0,0,-8565.1109467455608,0
6,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,106.92307692307696,96.538461538461519,96.538461538461519,0,0,0,-106.92307692307696,-96.538461538461519,-96.538461538461519,100,10.384615384615444,160,0.80000000000000004,0,0,0,-8532.159763313608,0.36859420473238003,elastic,0,0,-8532.159763313608,0
7,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,108.07692307692312,95.961538461538439,95.961538461538439,0,0,0,-108.07692307692312,-95.961538461538439,-95.961538461538439,100,12.115384615384684,160,0.80000000000000004,0,0,0,-8493.2174556212995,0.3662956444847652,elastic,0,0,-8493.2174556212995,0
8,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,109.23076923076928,95.384615384615358,95.384615384615358,0,0,0,-109.23076923076928,-95.384615384615358,-95.384615384615358,100,13.846153846153925,160,0.80000000000000004,0,0,0,-8448.284023668637,0.36365303502659074,elastic,0,0,-8448.284023668637,0
9,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,110.38461538461544,94.807692307692278,94.807692307692278,0,0,0,-110.38461538461544,-94.807692307692278,-94.807692307692278,100,15.576923076923165,160,0.80000000000000004,0,0,0,-8397.3594674556189,0.36067040831205649,elastic,0,0,-8397.3594674556189,0
10,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,111.5384615384616,94.230769230769198,94.230769230769198,0,0,0,-111.5384615384616,-94.230769230769198,-94.230769230769198,100,17.307692307692406,160,0.80000000000000004,0,0,0,-8340.443786982245,0.35735228685840742,elastic,0,0,-8340.443786982245,0
11,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,112.69230769230776,93.653846153846118,93.653846153846118,0,0,0,-112.69230769230776,-93.653846153846118,-93.653846153846118,100,19.038461538461647,160,0.80000000000000004,0,0,0,-8277.5369822485172,0.35370366683069865,elastic,0,0,-8277.5369822485172,0
12,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,113.84615384615392,93.076923076923038,93.076923076923038,0,0,0,-113.84615384615392,-93.076923076923038,-93.076923076923038,100,20.769230769230887,160,0.80000000000000004,0,0,0,-8208.6390532544337,0.34972999954621747,elastic,0,0,-8208.6390532544337,0
13,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,115.00000000000009,92.499999999999957,92.499999999999957,0,0,0,-115.00000000000009,-92.499999999999957,-92.499999999999957,100,22.500000000000128,160,0.80000000000000004,0,0,0,-8133.7499999999945,0.34543717152412773,elastic,0,0,-8133.7499999999945,0
14,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,116.15384615384625,91.923076923076877,91.923076923076877,0,0,0,-116.15384615384625,-91.923076923076877,-91.923076923076877,100,24.230769230769369,160,0.80000000000000004,0,0,0,-8052.8698224852005,0.34083148321368562,elastic,0,0,-8052.8698224852005,0
15,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,117.30769230769241,91.346153846153797,91.346153846153797,0,0,0,-117.30769230769241,-91.346153846153797,-91.346153846153797,100,25.961538461538609,160,0.80000000000000004,0,0,0,-7965.9985207100517,0.33591962654075752,elastic,0,0,-7965.9985207100517,0
16,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,118.46153846153857,90.769230769230717,90.769230769230717,0,0,0,-118.46153846153857,-90.769230769230717,-90.769230769230717,100,27.69230769230785,160,0.80000000000000004,0,0,0,-7873.1360946745472,0.33070866141732236,elastic,0,0,-7873.1360946745472,0
17,undrained_like_zero_volumetric_strain,0.00029999999999999997,-0.00014999999999999999,-0.00014999999999999999,0,0,0,0,119.61538461538473,90.192307692307637,90.192307692307637,0,0,0,-119.61538461538473,-90.192307692307637,-90.192307692307637,100,29.423076923077087,160,0.80000000000000004,0,0,0,-7774.2825443786887,0.32520599136214606,elastic,0,0,-7774.2825443786887,0
