path,step,yield_flag,return_status,iterations,residual,yield_f,yield_f_normalized,plastic_multiplier
drained_like,0,0,initial,0,0,-8640,0.375,0
drained_like,1,0,elastic,0,-8564.4186390532523,-8564.4186390532523,0.36710947718759201,0
drained_like,2,0,elastic,0,-8481.6745562130181,-8481.6745562130181,0.35906852798744693,0
drained_like,3,0,elastic,0,-8391.7677514792904,-8391.7677514792904,0.35088534789317932,0
drained_like,4,0,elastic,0,-8294.6982248520708,-8294.6982248520708,0.34256782911637396,0
drained_like,5,0,elastic,0,-8190.4659763313603,-8190.4659763313603,0.33412357024147032,0
drained_like,6,0,elastic,0,-8079.0710059171579,-8079.0710059171579,0.32555988566229166,0
drained_like,7,0,elastic,0,-7960.5133136094664,-7960.5133136094664,0.31688381479730598,0
drained_like,8,0,elastic,0,-7834.7928994082831,-7834.7928994082831,0.30810213108162438,0
drained_like,9,0,elastic,0,-7701.9097633136071,-7701.9097633136071,0.2992213507345805,0
drained_like,10,0,elastic,0,-7561.8639053254419,-7561.8639053254419,0.29024774130248138,0
drained_like,11,0,elastic,0,-7414.655325443784,-7414.655325443784,0.28118732997679496,0
drained_like,12,0,elastic,0,-7260.284023668637,-7260.284023668637,0.27204591168864328,0
drained_like,13,0,elastic,0,-7098.7499999999973,-7098.7499999999973,0.26282905698100617,0
drained_like,14,0,elastic,0,-6930.0532544378657,-6930.0532544378657,0.25354211966051743,0
drained_like,15,0,elastic,0,-6754.193786982245,-6754.193786982245,0.24419024423115787,0
drained_like,16,0,elastic,0,-6571.1715976331316,-6571.1715976331316,0.23477837311251809,0
drained_like,17,0,elastic,0,-6380.9866863905281,-6380.9866863905281,0.22531125364563043,0
drained_like,18,0,elastic,0,-6183.6390532544328,-6183.6390532544328,0.21579344488964528,0
drained_like,19,0,elastic,0,-5979.1286982248466,-5979.1286982248466,0.20622932421287335,0
drained_like,20,0,elastic,0,-5767.4556213017695,-5767.4556213017695,0.19662309368191697,0
