path,steps,plastic_steps,max_abs_yield_f_plastic,max_normalized_yield_f_plastic,max_abs_return_residual_plastic,max_iterations,final_p,final_q,final_pc,final_e,final_eps_p_v,final_eps_p_eq,tolerance
isotropic,180,58,4.5865475871930185e-06,8.4208931518049281e-11,4.5865475871930185e-06,3,194.48343989765849,6.0291550413456957e-14,194.48343991403573,0.72853373941811073,0.017824013185773868,0.017824013185773868,1e-08
drained_like,140,100,0.00016089139990071999,2.6918665260178348e-09,0.0001608914071766776,5,180.26487063605046,80.548267972691377,205.2590457568071,0.72595472930621974,0.022736427809277641,0.026760443901241264,1e-08
undrained_like,140,87,8.3543354776338674e-05,2.677097254965146e-09,8.3543351138359867e-05,5,86.215692004697431,99.567016348438671,166.06702591718192,0.80000000000000004,0.0033082368762431921,0.025023730691664296,1e-08
