step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,return_status,yield_flag,iterations,residual,pore_pressure_proxy,yield_f_normalized
20,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,137.5,137.5,137.5,0.0,0.0,0.0,-137.5,-137.5,-137.5,137.5,0.0,160.0,0.7838690683686013,0.0,0.0,0.0,-4455.0,elastic,0,0,-4455.0,0.0,0.140625
21,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,139.375,139.375,139.375,0.0,0.0,0.0,-139.375,-139.375,-139.375,139.375,0.0,160.0,0.7830663272878354,0.0,0.0,0.0,-4139.4375,elastic,0,0,-4139.4375,0.0,0.12890625
22,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,141.25,141.25,141.25,0.0,0.0,0.0,-141.25,-141.25,-141.25,141.25,0.0,160.0,0.7822639474405559,0.0,0.0,0.0,-3813.75,elastic,0,0,-3813.75,0.0,0.1171875
23,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,143.125,143.125,143.125,0.0,0.0,0.0,-143.125,-143.125,-143.125,143.125,0.0,160.0,0.7814619286642077,0.0,0.0,0.0,-3477.9375,elastic,0,0,-3477.9375,0.0,0.10546875
24,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,145.0,145.0,145.0,0.0,0.0,0.0,-145.0,-145.0,-145.0,145.0,0.0,160.0,0.7806602707963088,0.0,0.0,0.0,-3131.9999999999995,elastic,0,0,-3131.9999999999995,0.0,0.09374999999999999
25,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,146.875,146.875,146.875,0.0,0.0,0.0,-146.875,-146.875,-146.875,146.875,0.0,160.0,0.7798589736744505,0.0,0.0,0.0,-2775.9375,elastic,0,0,-2775.9375,0.0,0.08203125
26,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,148.75,148.75,148.75,0.0,0.0,0.0,-148.75,-148.75,-148.75,148.75,0.0,160.0,0.779058037136297,0.0,0.0,0.0,-2409.75,elastic,0,0,-2409.75,0.0,0.0703125
27,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,150.625,150.625,150.625,0.0,0.0,0.0,-150.625,-150.625,-150.625,150.625,0.0,160.0,0.7782574610195856,0.0,0.0,0.0,-2033.4375,elastic,0,0,-2033.4375,0.0,0.05859375
28,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,152.5,152.5,152.5,0.0,0.0,0.0,-152.5,-152.5,-152.5,152.5,0.0,160.0,0.7774572451621268,0.0,0.0,0.0,-1647.0,elastic,0,0,-1647.0,0.0,0.046875
29,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,154.375,154.375,154.375,0.0,0.0,0.0,-154.375,-154.375,-154.375,154.375,0.0,160.0,0.7766573894018038,0.0,0.0,0.0,-1250.4375,elastic,0,0,-1250.4375,0.0,0.03515625
30,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,156.25,156.25,156.25,0.0,0.0,0.0,-156.25,-156.25,-156.25,156.25,0.0,160.0,0.775857893576573,0.0,0.0,0.0,-843.75,elastic,0,0,-843.75,0.0,0.0234375
31,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,158.125,158.125,158.125,0.0,0.0,0.0,-158.125,-158.125,-158.125,158.125,0.0,160.0,0.7750587575244635,0.0,0.0,0.0,-426.9375,elastic,0,0,-426.9375,0.0,0.01171875
32,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,160.0,160.0,160.0,0.0,0.0,0.0,-160.0,-160.0,-160.0,160.0,0.0,160.0,0.7742599810835775,0.0,0.0,0.0,0.0,elastic,0,0,0.0,0.0,0.0
33,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,160.56067098038108,160.56067098038108,160.56067098038108,0.0,0.0,0.0,-160.56067098038108,-160.56067098038108,-160.56067098038108,160.56067098038108,0.0,160.560670985488,0.7734615640920899,0.0003154392242021709,0.0003154392242021709,1.3643130380340584e-06,-1.1807590110035976e-06,plastic_converged,1,3,-1.1807590110035976e-06,0.0,3.180683293080093e-11
34,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,161.1225399215468,161.1225399215468,161.1225399215468,0.0,0.0,0.0,-161.1225399215468,-161.1225399215468,-161.1225399215468,161.1225399215468,0.0,161.12253992676344,0.7726635063882484,0.0006305909458724676,0.0006305909458724676,1.3583162379682536e-06,-1.2103449953712856e-06,plastic_converged,1,3,-1.2103449953712856e-06,0.0,3.237681231977376e-11
35,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,161.68560641321687,161.68560641321687,161.68560641321687,0.0,0.0,0.0,-161.68560641321687,-161.68560641321687,-161.68560641321687,161.68560641321687,0.0,161.6856064185453,0.7718658078103737,0.0009454552637081907,0.0009454552637081907,1.352351524248851e-06,-1.2406007586004121e-06,plastic_converged,1,3,-1.2406007586004121e-06,0.0,3.2955418462485256e-11
36,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,162.24987004081845,162.24987004081845,162.24987004081845,0.0,0.0,0.0,-162.24987004081845,-162.24987004081845,-162.24987004081845,162.24987004081845,0.0,162.2498700462599,0.771068468196859,0.0012600322774433193,0.001260032277443319,1.3464187027740081e-06,-1.2713393497013097e-06,plastic_converged,1,3,-1.2713393497013097e-06,0.0,3.353746881730709e-11
