"Name","Excluded","Frames","Steps","Zmin","Zmax","H","P0max","ExcessMin","ExcessMax","ExcessMean","L2","L2NegEx","MaxErr","L2Internal","MaxErrInternal","VelMax","VelMean","MeanSettlement","PorePressRateMax","DivContribMax","HydContribMax","AceDiffMax","DtPore"
"Case1DConsolidation_PR_SW2_T001_D0p07","0","3","2098","0.0049999999","0.995","0.9900000001","20312.9569068593","-4866.41249329","2.992790706729","-489.06135625341","12593.7759672997","11011.8918322887","25101.8367622318","12336.5693951894","24769.1007900804","0.014543412","0.0102216322058999","-4.97284700085032E-06","129841690","144624453.333333","123389659.58736","22.1357670000004","4.76766E-07"
"Case1DConsolidation_PR_SW2_T001_D1","0","3","2098","0.0049999999","0.995","0.9900000001","20312.9569068593","-4864.056087745","2.98155521439","-488.841937918665","12593.4077171448","11012.1726748262","25099.5236824395","12336.2754536323","24766.7443434991","0.014535862","0.0102167797846","-4.97179800079683E-06","129769450","144542026.666667","123320419.917567","22.1229860000005","4.76766E-07"
"Case1DConsolidation_PR_SW2_T001_D10","0","3","2098","0.0049999999","0.995","0.9900000001","20312.9569068593","-4841.39192906","2.860808769959","-487.034464841216","12589.9910079565","11014.7333767064","25077.2774283504","12333.5810940971","24744.0799180783","0.014463156","0.0101704646361","-4.95699300090413E-06","129070690","143747793.333333","122652986.802107","22.0001980000004","4.76766E-07"
"Case1DConsolidation_PR_SW2_T001_D50","0","3","2098","0.0049999999","0.995","0.9900000001","20312.9569068593","-4742.189828294","2.323271833606","-479.121235636194","12575.0385000613","11025.9859145877","24979.9010689211","12321.7854877683","24644.8765657059","0.014145362","0.00996796251090003","-4.8904370000824E-06","126018630","140278540","119737190.93578","21.4636150000004","4.76766E-07"
"Case1DConsolidation_PR_SW2_T001_D85","0","3","2098","0.0049999999","0.995","0.9900000001","20312.9569068593","-4657.390268779","1.916082106732","-472.33166612729","12562.2461572957","11035.6775098481","24896.657534756","12311.6845546728","24560.075980284","0.013874414","0.00979513914440001","-4.83383300070583E-06","123417760","137322813.333333","117252270.132246","21.0063500000005","4.76766E-07"
"Case1DConsolidation_PR_SW2_T005_D85","330","6","10488","0.0049999999","0.995","0.9900000001","20312.9569068593","-858112.1295315","85524406.60605","20783602.6155544","31374917.5512691","31390874.9912767","85506522.0498064","31464553.0342722","85506522.0498064","119.741980000001","22.7161063667555","0.133216169237864","463341390000","699529733333.333","522365642467.787","175244.440000003","4.76766E-07"
