case,time,xi,shepard,interval,gencase_code,dual_code,excluded,steps,final_part,nmat,zmin,zmax,H,K,G,vel_max,vel_mean,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Eq4_p0_max,Eq4_minus_hydro_max,L2_PorePress_vs_Eq4,MaxErr_PorePress_vs_Eq4,L2_Excess_vs_Eq4_minus_hydro,MaxErr_Excess_vs_Eq4_minus_hydro,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S0,0.0025,0.03,0,0,0,0,0,5244,PartCsv_0001.csv,1000,0.0049927901,0.99497074,0.9899779499,1666666.6666666665,769230.7692307692,0.022658752,0.015060877045900022,5286.442088323,31367.52510214,16599.151469740147,49.33704060000035,9761.020729119,4905.237809497623,5237.105035636,21644.94002306,11693.913456368658,20312.504477806455,10551.483748687455,6857.42459932828,11338.304036324309,6857.424368610485,11338.303617324309,75757726.66666667,60486560.43927966,72913344.0,12.766701
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S20,0.0025,0.03,1,20,0,0,0,5244,PartCsv_0001.csv,1000,0.00499275,0.99497074,0.98997799,1666666.6666666665,769230.7692307692,0.022671510000000006,0.015189366771399988,5388.390777154,31138.31726694,16549.750240257334,49.33704060000035,9761.0211225,4905.2385313272225,5339.053693838,21414.39082766,11644.511480131885,20312.505300583798,10551.484178083798,6778.101586853086,11110.590196869154,6778.101339761789,11110.589776679157,77803853.33333334,58097168.52918791,74094320.0,12.621367000000966
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S40,0.0025,0.03,1,40,0,0,0,5244,PartCsv_0001.csv,1000,0.00499277,0.99497074,0.98997797,1666666.6666666665,769230.7692307692,0.022665255,0.015125630699100043,5339.827224333,31243.18142411,16574.13058059858,49.33704060000035,9761.020926300002,4905.238179148228,5290.490156181,21519.4322277,11668.892191020645,20312.504890221033,10551.483963921031,6816.804038436177,11215.229974791386,6816.803806475268,11215.22957457139,76786253.33333334,58430034.410125725,73381304.0,12.69669900000057
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S0,0.0025,0.05,0,0,0,0,0,5244,PartCsv_0001.csv,1000,0.0049928962,0.99497151,0.9899786138,1666666.6666666665,769230.7692307692,0.021736301,0.014483272183900015,5106.006715548,30677.35508619,16205.975857426552,49.32948690000051,9761.019688278,4905.231787521188,5056.677509467,20953.82963555,11300.743872444753,20312.51809979846,10551.49841152046,6433.263622851662,10649.038943667932,6433.26339540633,10649.038528887932,73601313.33333334,59007662.363778464,70834088.0,12.422455000000001
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S20,0.0025,0.05,1,20,0,0,0,5244,PartCsv_0001.csv,1000,0.0049928576,0.99497151,0.9899786523999999,1666666.6666666665,769230.7692307692,0.021748504000000002,0.014606628580300034,5205.259860561,30453.18780739,16158.358707772783,49.32948690000051,9761.020066944,4905.23250527963,5155.930625009,20728.33747213,11253.126001128174,20312.5188917986,10551.498824854601,6356.859338778692,10426.345422345326,6356.859113487511,10426.345015095329,75571673.33333334,56649779.018756375,71958464.0,12.276544000000753
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S40,0.0025,0.05,1,40,0,0,0,5244,PartCsv_0001.csv,1000,0.0049928767,0.99497151,0.9899786332999999,1666666.6666666665,769230.7692307692,0.021742497,0.014545439032499984,5157.923670798,30555.77002845,16181.851618911305,49.32948690000051,9761.019879573001,4905.232146125738,5108.594449912,20831.09898752,11276.619270335135,20312.51849990216,10551.498620329157,6394.123400162702,10528.702519305698,6394.1231703170415,10528.702098305703,74591866.66666667,56984520.818484545,71276168.0,12.35209900000088
Case1DConsolidation_PR_SW2C_T0p0030_Xi4em5_S0,0.0030,4e-5,0,0,0,0,0,6293,PartCsv_0001.csv,1000,0.0049923584,0.99495631,0.9899639516,1666666.6666666665,769230.7692307692,0.028419269,0.016314760887300064,12941.1603705,40712.92924987,25322.734112242062,49.47859890000044,9761.024964096,4905.326640980153,12891.6818164,30978.02777093,20417.407248343898,20312.217258751258,10551.192294655259,15435.026385324754,20696.338396557174,15435.026145394439,20696.33798069717,61043500.66666667,44419817.64065029,48976260.0,12.953985000000001
Case1DConsolidation_PR_SW2C_T0p0030_Xi4em5_S20,0.0030,4e-5,1,20,0,0,0,6293,PartCsv_0001.csv,1000,0.0049922825,0.99495631,0.9899640274999999,1666666.6666666665,769230.7692307692,0.028463114000000015,0.016526316991970075,13021.34990249,40496.35174937,25242.92768282275,49.47859890000044,9761.025708675,4905.328288069347,12971.87118367,30761.02783272,20337.5991749194,20312.218816077955,10551.193107402954,15340.083336903488,20480.28102668515,15340.083100429138,20480.28062934515,63071181.33333334,43763739.456370376,50542540.0,12.877453000000013
Case1DConsolidation_PR_SW2C_T0p0030_Xi4em5_S40,0.0030,4e-5,1,40,0,0,0,6293,PartCsv_0001.csv,1000,0.0049923202,0.99495631,0.9899639898,1666666.6666666665,769230.7692307692,0.028441682,0.016421481997129988,12983.93768108,40597.7083683,25282.545056754603,49.47859890000044,9761.025338838,4905.327495843222,12934.45904325,30862.43721101,20377.217364306973,20312.218042544144,10551.192703706143,15386.949374836497,20581.54584160616,15386.949159783038,20581.54542658616,62066386.00000001,43853391.77845601,49727048.0,12.91350800000005
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p01_S0,0.0030,0.01,0,0,0,0,0,6293,PartCsv_0001.csv,1000,0.0049924133,0.99495703,0.9899646167,1666666.6666666665,769230.7692307692,0.027706692,0.015935011412500002,12670.4429348,40136.85750957,24913.7506122899,49.471535699999805,9761.024425527,4905.3217224521895,12620.97157172,30401.73825962,20008.428690070243,20312.23090536504,10551.206479838038,15014.94822140958,20120.4563586918,15014.948003464742,20120.4559647618,60077225.33333334,43894584.638583556,48384816.0,12.775601
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p01_S20,0.0030,0.01,1,20,0,0,0,6293,PartCsv_0001.csv,1000,0.0049923393,0.99495703,0.9899646907,1666666.6666666665,769230.7692307692,0.02774931300000001,0.016141569579269953,12749.93864445,39922.0108714,24835.475701598007,49.471535699999805,9761.025151467,4905.323307355798,12700.46712065,30186.46372146,19930.152167776727,20312.23242370727,10551.207272240272,14921.790101858413,19906.13415497489,14921.789859346352,19906.13374410489,62065447.333333336,43234476.947807685,49910924.0,12.697608000000024
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p01_S40,0.0030,0.01,1,40,0,0,0,6293,PartCsv_0001.csv,1000,0.0049923761,0.99495703,0.9899646539,1666666.6666666665,769230.7692307692,0.027728476000000002,0.01603920529058,12712.80561225,40022.58815297,24874.32822530765,49.471535699999805,9761.024790459,4905.322536309364,12663.33416766,30287.09780577,19969.005490923315,20312.23166863978,10551.20687818078,14967.770518675261,20006.616099023347,14967.770301364422,20006.61568848334,61080490.66666667,43328415.16571511,49115724.0,12.733681000000077
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p03_S0,0.0030,0.03,0,0,0,0,0,6293,PartCsv_0001.csv,1000,0.0049925204,0.99495846,0.9899659396,1666666.6666666665,769230.7692307692,0.026346968,0.015211362264099944,12147.39810632,39024.86680119,24124.348047978,49.45750740000011,9761.023374876,4905.31214719569,12097.94064382,29289.32947706,19219.035689339627,20312.258048810178,10551.234673934177,14204.345426455813,19008.829339679894,14204.345198755358,19008.8289349399,58221752.66666667,42877743.2326698,47260600.0,12.433734
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p03_S20,0.0030,0.03,1,20,0,0,0,6293,PartCsv_0001.csv,1000,0.0049924492,0.99495846,0.9899660108,1666666.6666666665,769230.7692307692,0.026387235000000005,0.015408257175720048,12225.55201475,38813.57400697,24049.099723856478,49.45750740000011,9761.024073348,4905.313697587703,12176.09439945,29077.59897674,19143.78581654699,20312.259509701624,10551.235436353623,14114.730866159767,18798.068335369953,14114.73063970734,18798.06792939995,60134426.00000001,42210534.818200685,48710012.0,12.350808000000029
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p03_S40,0.0030,0.03,1,40,0,0,0,6293,PartCsv_0001.csv,1000,0.0049924846,0.99495846,0.9899659754,1666666.6666666665,769230.7692307692,0.026367569,0.015310710680730043,12189.01172927,38912.50103994,24086.4499087082,49.45750740000011,9761.023726074,4905.31292491288,12139.55418898,29176.59028855,19181.136769447025,20312.258783359528,10551.235057285528,14158.955716318595,18896.89364393399,14158.9554874717,18896.893225523992,59187188.66666667,42312168.2241909,47953776.0,12.387064000000038
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p05_S0,0.0030,0.05,0,0,0,0,0,6293,PartCsv_0001.csv,1000,0.0049926233,0.99495983,0.9899672066999999,1666666.6666666665,769230.7692307692,0.025076481,0.014536319453099987,11650.66513344,37969.75251868,23375.46395967163,49.444067700000105,9761.022365427,4905.30302979143,11601.22088587,28233.82112801,18470.160707836276,20312.2840473432,10551.261681916201,13435.631137048644,17954.057901982353,13435.630900223949,17954.057486782352,56473180.66666668,41909034.644766636,46214676.0,12.107933
Case1DConsolidation_PR_SW2C_T0p0030_Xi0p05_S20,0.0030,0.05,1,20,0,0,0,6293,PartCsv_0001.csv,1000,0.0049925549,0.99495977,0.9899672151000001,1666666.6666666665,769230.7692307692,0.025114585000000005,0.014724117424710019,11727.57329689,37761.92400833,23303.112445987594,49.44465629999979,9761.023036431001,4905.304528994915,11678.12890373,28025.54604862,18397.8077053443,20312.284219695564,10551.261183264563,13349.432556806669,17746.768977017673,13349.432329008641,17746.768572157674,58314432.66666667,41235506.793864705,47592184.0,12.020430000000038
