step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_limited,feedback_relaxed,case,label
38,0.00422253,0.81502,63,344,249.729,178.477,249.729,178.477,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
39,0.00432299,0.881995,63,344,1747.89,1246.03,1747.89,1246.03,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
40,0.00442337,0.948915,63,344,778.58,665.814,778.58,665.814,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
41,0.0045236,1.0,63,344,6213.79,4615.63,6213.79,4615.63,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
42,0.0046235,1.0,63,344,11056.3,8102.71,11056.3,8102.71,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
43,0.00472276,1.0,63,344,10531.3,8175.37,10531.3,8175.37,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
44,0.00482076,1.0,63,344,52657.2,37997.0,52657.2,37997.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
45,0.00491672,1.0,63,344,20977.1,13057.1,20977.1,13057.1,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
46,0.00501113,1.0,63,344,167774.0,119675.0,167774.0,119675.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
47,0.00509752,1.0,63,344,138022.0,92630.0,138022.0,92630.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
48,0.00514834,1.0,63,344,403426.0,291295.0,403426.0,291295.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
49,0.00517305,1.0,63,344,396573.0,288243.0,396573.0,288243.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
50,0.00521476,1.0,63,344,11995.1,8670.62,11995.1,8670.62,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
51,0.00523794,1.0,63,344,312775.0,216479.0,312775.0,216479.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
52,0.00525251,1.0,63,344,494454.0,338911.0,494454.0,338911.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
53,0.00526729,1.0,59,348,621552.0,416418.0,621552.0,416418.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
54,0.00528632,1.0,51,356,679575.0,437803.0,679575.0,437803.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
55,0.00531864,1.0,51,356,570752.0,362999.0,570752.0,362999.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
56,0.00533659,1.0,51,356,377670.0,237943.0,377670.0,237943.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
57,0.00534633,1.0,51,356,239516.0,150191.0,239516.0,150191.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
58,0.00535472,1.0,51,356,109262.0,70825.2,109262.0,70825.2,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
59,0.00536278,1.0,51,356,58924.9,41638.0,58924.9,41638.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
60,0.00537077,1.0,51,356,86870.4,54912.9,86870.4,54912.9,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
61,0.00537875,1.0,51,356,215058.0,137505.0,215058.0,137505.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
62,0.00538693,1.0,51,356,342670.0,220686.0,342670.0,220686.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
63,0.00539536,1.0,51,356,465348.0,300163.0,465348.0,300163.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
64,0.00540431,1.0,51,356,580208.0,373781.0,580208.0,373781.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
65,0.00541412,1.0,51,356,681688.0,437847.0,681688.0,437847.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
66,0.00542514,1.0,51,356,758005.0,484830.0,758005.0,484830.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
67,0.00543816,1.0,51,356,788795.0,501988.0,788795.0,501988.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
68,0.00545485,1.0,51,356,726035.0,459832.0,726035.0,459832.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
69,0.00548009,1.0,51,356,483036.0,265430.0,483036.0,265430.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
70,0.00549418,1.0,51,356,93842.1,47011.8,93842.1,47011.8,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
71,0.00550341,1.0,51,356,114269.0,73634.6,114269.0,73634.6,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
72,0.00551192,1.0,51,356,285626.0,180582.0,285626.0,180582.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
73,0.00552038,1.0,51,356,446356.0,281436.0,446356.0,281436.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
74,0.00552916,1.0,51,356,595883.0,375719.0,595883.0,375719.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
