case,configured_dp,frame_index,kind,mode,resolution,surface_excess_count,surface_excess_max,surface_excess_maxAbs,surface_excess_mean,surface_excess_median,surface_excess_p90_abs,surface_excess_p95_abs,surface_excess_p99_abs,surface_threshold,time
coarse_compression,0.01,0,compression,4,coarse,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0
coarse_compression,0.01,0,compression,4,coarse,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
coarse_compression,0.01,0,compression,4,coarse,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
coarse_compression,0.01,1,compression,4,coarse,398,67.29280918791,67.29280918791,57.42105414422742,57.483214974805,64.984956181471,65.049235912695,67.2928037366194,0.85,0.001005
coarse_compression,0.01,1,compression,4,coarse,350,67.29280918791,67.29280918791,56.55825213415745,56.674595452325,64.984950074294,64.9849554450735,67.2928044906898,0.9,0.001005
coarse_compression,0.01,1,compression,4,coarse,278,67.29280918791,67.29280918791,54.554113431083785,55.61321791902,63.136724323565005,63.1367362629835,67.29280562179541,0.95,0.001005
coarse_compression,0.01,2,compression,4,coarse,398,272.8507860712,272.8507860712,255.22082908235296,257.6555784901,272.85075240773,272.85076156613,272.850775350546,0.85,0.002011
coarse_compression,0.01,2,compression,4,coarse,350,272.8507860712,272.8507860712,252.82632607549561,255.70898825544998,272.85075519505,272.850763466505,272.85077548408196,0.9,0.002011
coarse_compression,0.01,2,compression,4,coarse,278,269.0821105706,269.0821105706,247.9717647307295,253.83329056079998,268.79439183125,268.79441551640997,269.082091901769,0.95,0.002011
coarse_compression,0.01,3,compression,4,coarse,398,221.8284313456,221.8284313456,195.19081115551037,194.56640130305,221.82832966837,221.828356955395,221.82839078968,0.85,0.003016
coarse_compression,0.01,3,compression,4,coarse,350,221.8284313456,221.8284313456,197.84294712348265,195.9113359804,221.82833250712,221.8283612077,221.82839582776,0.9,0.003016
coarse_compression,0.01,3,compression,4,coarse,278,221.8284313456,221.8284313456,202.65289344978984,195.91140398815,221.82834280901,221.82836658136,221.828402789111,0.95,0.003016
coarse_compression,0.01,4,compression,4,coarse,398,123.8111386703,123.8111386703,78.26843356289481,70.692657282805,123.8110136544,123.81106494266,123.81111114117301,0.85,0.004022
coarse_compression,0.01,4,compression,4,coarse,350,123.8111386703,123.8111386703,78.94569458609868,70.69263075706,123.81102520888,123.81106977395,123.811111303941,0.9,0.004022
coarse_compression,0.01,4,compression,4,coarse,278,123.8111386703,123.8111386703,81.02449941951734,65.86405616584,123.81104394697,123.811079841525,123.811111617967,0.95,0.004022
coarse_compression,0.01,5,compression,4,coarse,398,155.2084908834,155.2084908834,118.4796175490086,125.6527310002,146.4425380007,155.20844296745,155.20848395525996,0.85,0.005027
coarse_compression,0.01,5,compression,4,coarse,350,139.5066122886,139.5066122886,114.0436100440823,125.6526078654,134.30377141425,139.50653349814,139.506569171455,0.9,0.005027
coarse_compression,0.01,5,compression,4,coarse,278,133.6085939108,133.6085939108,108.34721770928026,110.25240047055,133.60834031201,133.60839219704002,133.60845021511798,0.95,0.005027
coarse_compression,0.01,6,compression,4,coarse,398,182.9576197402,182.9576197402,86.54954480678128,85.29959002357,125.9029000198,131.556911832785,182.957573761014,0.85,0.006032
coarse_compression,0.01,6,compression,4,coarse,350,182.9576197402,182.9576197402,84.41988317002053,85.299507832305,125.90296205370001,131.556922822965,182.957575351638,0.9,0.006032
coarse_compression,0.01,6,compression,4,coarse,278,182.9576197402,182.9576197402,82.33418751400023,72.38348102391501,131.55677173522,131.556953202075,182.95758421649,0.95,0.006032
finer_compression,0.008,0,compression,4,finer,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0
finer_compression,0.008,0,compression,4,finer,474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
finer_compression,0.008,0,compression,4,finer,318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
finer_compression,0.008,1,compression,4,finer,594,129.6235469221,129.6235469221,109.18066074125994,114.8353942796,122.14889809900001,122.14891958998,124.42602622485228,0.85,0.001046
finer_compression,0.008,1,compression,4,finer,474,129.6235469221,129.6235469221,106.37831865559737,104.568948324,119.32990377345,121.864582084465,129.62352311708298,0.9,0.001046
finer_compression,0.008,1,compression,4,finer,318,129.6235469221,129.6235469221,100.78412248028191,100.2409441957,118.84822930919,119.205206197155,129.623539761599,0.95,0.001046
finer_compression,0.008,2,compression,4,finer,594,274.6455897274,274.6455897274,263.60018341913326,264.45223087830004,273.60584397623995,273.605850356095,274.645586999086,0.85,0.002011
finer_compression,0.008,2,compression,4,finer,474,268.2950722701,268.2950722701,261.050148677902,259.36690882505,267.44118726146996,268.22764349096,268.295066392809,0.9,0.002011
finer_compression,0.008,2,compression,4,finer,318,265.9123185582,265.9123185582,258.3326823871024,258.17593757730003,262.73584540964004,264.45223424727504,265.912310369464,0.95,0.002011
finer_compression,0.008,3,compression,4,finer,594,144.606174726,144.606174726,75.72208404337853,63.802262541665,112.16784422426,112.16788118990002,144.606151359629,0.85,0.003056
finer_compression,0.008,3,compression,4,finer,474,144.606174726,144.606174726,80.41166587143498,72.08022955065,112.16786398871,123.52127826390074,144.60615333293902,0.9,0.003056
finer_compression,0.008,3,compression,4,finer,318,144.606174726,144.606174726,90.69207483814178,93.843575302055,112.16787784110001,144.60612554647997,144.606162905527,0.95,0.003056
finer_compression,0.008,4,compression,4,finer,594,178.0409327057,178.0409327057,81.004958118276,86.7571931288,104.77984839196,104.77987400178,178.04079908930402,0.85,0.004022
finer_compression,0.008,4,compression,4,finer,474,178.0409327057,178.0409327057,76.52328734045992,73.519718403045,97.832549965836,130.02385025887668,178.04081314762797,0.9,0.004022
finer_compression,0.008,4,compression,4,finer,318,178.0409327057,178.0409327057,78.55597385889817,73.51976756054,97.832577245532,178.04075285786,178.04083888016802,0.95,0.004022
finer_compression,0.008,5,compression,4,finer,594,227.5092600961,227.5092600961,93.07629066336548,112.13219299010001,169.19843703198,173.123416277665,176.93077443197075,0.85,0.005067
finer_compression,0.008,5,compression,4,finer,474,227.5092600961,227.5092600961,86.10479343262739,108.4708940343,173.12321485607,173.123457077065,227.508981150264,0.9,0.005067
finer_compression,0.008,5,compression,4,finer,318,227.5092600961,227.5092600961,64.54899615325935,27.946619748305,173.12340560677,173.123543979565,227.50906188497498,0.95,0.005067
finer_compression,0.008,6,compression,4,finer,594,42.95485428695,273.325769025,-66.38327830002397,-59.00910702177,131.42290770008,131.42322567054,273.32561762560204,0.85,0.006032
finer_compression,0.008,6,compression,4,finer,474,42.95485428695,273.325769025,-69.47419389263543,-60.83190737211,131.42304966435998,181.08908731007324,273.32562348783,0.9,0.006032
finer_compression,0.008,6,compression,4,finer,318,42.95485428695,273.325769025,-83.12121645304113,-62.39944715595,131.42319042633,273.32549867712004,273.325656297156,0.95,0.006032
coarse_diffusion,0.01,0,diffusion,4,coarse,398,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.85,0.0
coarse_diffusion,0.01,0,diffusion,4,coarse,350,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.9,0.0
coarse_diffusion,0.01,0,diffusion,4,coarse,278,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.95,0.0
coarse_diffusion,0.01,1,diffusion,4,coarse,398,891.6628235323,891.6628235323,888.6426856372133,888.3900133388,891.66274490522,891.662770354935,891.662798011899,0.85,0.001005
coarse_diffusion,0.01,1,diffusion,4,coarse,350,891.6628235323,891.6628235323,888.6488732908157,888.3900133388,891.66275833691,891.662772122325,891.662804421483,0.9,0.001005
coarse_diffusion,0.01,1,diffusion,4,coarse,278,891.6628235323,891.6628235323,888.7006235076814,887.7259926587501,891.66276304993,891.6627821372501,891.662811145265,0.95,0.001005
coarse_diffusion,0.01,2,diffusion,4,coarse,398,780.8010368991,780.8010368991,772.5078489623463,772.92622700935,780.80090224169,780.8009408951749,780.800999929982,0.85,0.002011
coarse_diffusion,0.01,2,diffusion,4,coarse,350,780.8010368991,780.8010368991,772.349994160845,772.20625492925,780.8009140194799,780.80094907218,780.801006822494,0.9,0.002011
coarse_diffusion,0.01,2,diffusion,4,coarse,278,780.8010368991,780.8010368991,772.2293934887368,772.2062144510501,780.80092791211,780.80095625598,780.801015295893,0.95,0.002011
coarse_diffusion,0.01,3,diffusion,4,coarse,398,682.7975062286,682.7975062286,662.6154245559458,659.42118044685,681.5374099557,682.79747686401,682.797500465087,0.85,0.003016
coarse_diffusion,0.01,3,diffusion,4,coarse,350,677.3505434975,677.3505434975,659.9340033012929,658.930216656,677.35051779145,677.35052553073,677.350534242275,0.9,0.003016
coarse_diffusion,0.01,3,diffusion,4,coarse,278,667.3928557589,667.3928557589,656.0582504341612,658.5630061792999,662.18057506176,662.18060157999,667.392831738566,0.95,0.003016
coarse_diffusion,0.01,4,diffusion,4,coarse,398,577.6069711334,577.6069711334,565.428867766058,564.1482994982,571.53707350453,571.537182107925,577.606752240789,0.85,0.004022
coarse_diffusion,0.01,4,diffusion,4,coarse,350,577.6069711334,577.6069711334,565.3526627429161,564.14826445105,571.5370926238099,571.5372144426599,577.6067700902131,0.9,0.004022
coarse_diffusion,0.01,4,diffusion,4,coarse,278,577.6069711334,577.6069711334,565.5170760006622,564.0559158656499,571.53714752935,572.2185636839799,577.606790197408,0.95,0.004022
coarse_diffusion,0.01,5,diffusion,4,coarse,398,574.0567126959,574.0567126959,548.2445409105538,557.0084947,571.9149449407699,574.05664576087,574.0566932044729,0.85,0.005027
coarse_diffusion,0.01,5,diffusion,4,coarse,350,571.9153583865,571.9153583865,545.087899869722,553.25586736125,565.96362270762,571.914931762275,571.915226964968,0.9,0.005027
coarse_diffusion,0.01,5,diffusion,4,coarse,278,571.9153583865,571.9153583865,542.1341468325634,545.3267378338501,567.0958958790301,571.914974301445,571.9152397915531,0.95,0.005027
coarse_diffusion,0.01,6,diffusion,4,coarse,398,527.3883319652,527.3883319652,490.32700231133805,479.0129605467,527.38787350447,527.38802446508,527.3881752639301,0.85,0.006032
coarse_diffusion,0.01,6,diffusion,4,coarse,350,527.3883319652,527.3883319652,492.9187104421756,482.93193725485,527.38791424439,527.3880295051649,527.38817604681,0.9,0.006032
coarse_diffusion,0.01,6,diffusion,4,coarse,278,527.3883319652,527.3883319652,497.7934478774676,491.48367346545,527.3879966360901,527.3880421874501,527.388186080385,0.95,0.006032
finer_diffusion,0.008,0,diffusion,4,finer,594,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.85,0.0
finer_diffusion,0.008,0,diffusion,4,finer,474,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.9,0.0
finer_diffusion,0.008,0,diffusion,4,finer,318,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.95,0.0
finer_diffusion,0.008,1,diffusion,4,finer,594,827.3691778673,827.3691778673,823.8237857309243,823.9277100557499,827.13496236486,827.172992253035,827.3691692458519,0.85,0.001046
finer_diffusion,0.008,1,diffusion,4,finer,474,827.3691778673,827.3691778673,823.0821169941604,823.0873178362999,826.34583899626,827.045468945,827.3691715835,0.9,0.001046
finer_diffusion,0.008,1,diffusion,4,finer,318,826.0344471963,826.0344471963,822.1819274504207,822.1386794429,824.9624666755299,826.034383101,826.034429174271,0.95,0.001046
finer_diffusion,0.008,2,diffusion,4,finer,594,646.1548455069,646.1548455069,633.9527641636449,631.5077874559499,645.6627932306101,645.662799351295,646.1548413616281,0.85,0.002011
finer_diffusion,0.008,2,diffusion,4,finer,474,641.3187681402,641.3187681402,631.1328076815581,628.8112705784,637.33618980745,638.89114802593,641.318764146249,0.9,0.002011
finer_diffusion,0.008,2,diffusion,4,finer,318,631.5078237123,631.5078237123,628.4775162642704,628.0233320041,629.7813962908001,631.50779896775,631.5078197858021,0.95,0.002011
finer_diffusion,0.008,3,diffusion,4,finer,594,529.3984095991,529.3984095991,518.7141188615396,518.4196057469001,525.9440914885599,529.398392530775,529.398405707977,0.85,0.003056
finer_diffusion,0.008,3,diffusion,4,finer,474,526.0549387554,526.0549387554,516.7228321884885,516.36617500155,522.08555002623,522.87681617989,526.054932050314,0.9,0.003056
finer_diffusion,0.008,3,diffusion,4,finer,318,524.3756950905,524.3756950905,515.4794734755716,515.2645982040999,519.23631558115,520.76826076577,524.3756213753591,0.95,0.003056
finer_diffusion,0.008,4,diffusion,4,finer,594,495.8916052082,495.8916052082,472.1593279819822,475.05083978929997,489.18205147544,495.891107594875,495.891477252495,0.85,0.004022
finer_diffusion,0.008,4,diffusion,4,finer,474,495.8916052082,495.8916052082,468.76997708366264,471.71330716800003,493.6095443579499,495.89117639468,495.891490552626,0.9,0.004022
finer_diffusion,0.008,4,diffusion,4,finer,318,495.8916052082,495.8916052082,468.28904811816017,475.05095314525,495.89106113773005,495.891247297275,495.891539543414,0.95,0.004022
finer_diffusion,0.008,5,diffusion,4,finer,594,449.8239948359,449.8239948359,402.23142857239486,399.6724945852,438.73321799333996,449.82346952597004,449.82376249575896,0.85,0.005067
finer_diffusion,0.008,5,diffusion,4,finer,474,449.8239948359,449.8239948359,402.577825408996,399.672306419,446.4963796951599,449.823556816015,449.823778197894,0.9,0.005067
finer_diffusion,0.008,5,diffusion,4,finer,318,449.8239948359,449.8239948359,405.6334380756509,419.41237880505,449.82346070922995,449.82362954953504,449.82380046018704,0.95,0.005067
finer_diffusion,0.008,6,diffusion,4,finer,594,350.9133045816,350.9133045816,334.17694508939917,337.9869748389,350.90334572768995,350.91250001343496,350.912744199734,0.85,0.006032
finer_diffusion,0.008,6,diffusion,4,finer,474,350.9133045816,350.9133045816,331.59154356550357,334.57044500874997,350.90909413848004,350.9125305205,350.912797079885,0.9,0.006032
finer_diffusion,0.008,6,diffusion,4,finer,318,350.9133045816,350.9133045816,327.75675250764147,329.86936405715,350.91248106487,350.91258712475496,350.913067528659,0.95,0.006032
