variant,failed,region,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
baseline,0,bottom_cap_zone,155,0,0,0,148.8774193548387,106.38709677419355,0.9881013146056887,0.030216620297440495,0.04238489730910542,0.017378721341935487,30509246.0,22.271679864326877,18.017037671263317,1.8540296263068494,4596.9512,119.9986529677419,0.8000304286451612,-9.97702163935484e-07,0.3126989977741939,-33.680143174193546,0.09522836133110897,-11137.966117123802,5697.971742732953,0.000559029400000001
baseline,0,edge_ring,1600,0,0,0,95.9425,68.3975,0.7130337783034945,0.09167986690373682,0.12583625344312002,0.03620178667999998,52820388.0,44.78969770973339,48.747929292874645,1.3222336373578816,4271.8604,120.00192294999947,0.8000026424500013,1.4225194344131227e-06,0.296311745537506,-75.5174850443749,0.2135206586096867,-21534.06377143452,15672.681639244145,0.004916649626436078
baseline,0,interior,873,0,0,0,149.66093928980527,146.51660939289806,0.9850140995325061,0.038942876594808246,0.05466260189677097,0.0014317718477548827,29692218.0,29.0040324388787,38.12126524808036,1.8894249899372115,4419.9541,119.99348009163755,0.8000302482474199,-4.82829114801719e-06,0.2943430929381416,-53.85865292668957,0.15228175353005732,-11710.375729980557,5388.5272241939,0.0015201829000000041
baseline,0,lateral_surface,3948,0,0,0,97.32826747720365,95.51773049645391,0.695356494943735,0.038319583558383996,0.052768378002546724,-0.007989136122018708,31025182.0,36.939888776804835,29.652025768676932,1.1420636142595744,5004.4268,119.99855301925038,0.800015598135769,-1.0717686850545858e-06,0.2876722750253378,-52.82837960536975,0.1493687243423542,-8160.245835116099,6395.930054805721,0.0020335748621642087
baseline,0,measurement_core,207,0,0,0,164.95652173913044,164.95652173913044,1.0000002399032866,0.023478436949656973,0.033073686097676566,-0.01607933362028986,27344048.0,31.5090271678744,31.74291686612668,1.6055921421766655,4701.4766,119.99591579710147,0.8000223317874396,-3.023624076328502e-06,0.25880390376811635,-52.527913492753655,0.14851917642351153,-8622.43519355057,6609.927690929231,0.0010204926000000004
baseline,0,top_cap_zone,387,0,0,0,147.61757105943153,105.15245478036175,0.9874101239591682,0.09529368585526475,0.13426825876171253,0.02959826757441859,36410684.0,65.48024224978465,60.19347225176394,0.9176834270354506,4596.9512,120.03551408268721,0.7999358126356596,2.6300098572844957e-05,0.28776335948320236,-105.43535801033589,0.2981114515384929,-21633.057579656237,13128.683874901912,0.0037914051661947254
baseline,1,bottom_cap_zone,241,241,0,241,146.9792531120332,104.92946058091286,0.9868053817979375,0.02254700658083935,0.030139257575409754,0.0011568551850622273,28529658.0,-16.52737303037068,37.91228634444353,-6.164193386527349,29.207195,119.99938456431532,0.8000507569294608,-4.5596669435684635e-07,0.27073180985477163,-7.928418748307056,0.022417075884838527,-24444.780515968367,3043.287816215039,0.00045501123299701395
baseline,1,edge_ring,864,864,24,840,95.08796296296296,67.67129629629629,0.7051043194389267,0.03106512611428797,0.04179503015791429,0.006008492697775591,41620536.0,-17.09390795521642,44.02412609747702,-4.056431497787732,4015.5542,119.99870055555529,0.8000493150925896,-9.606431677592583e-07,0.2702076479861086,-7.396637105646989,0.020913498713133225,-23855.44953719677,3816.392841297949,0.003987005979064432
baseline,1,interior,295,295,5,290,149.9050847457627,147.12881355932203,0.9862441423113611,0.016338580000554152,0.02295234517769123,0.0038705637447118708,25330684.0,-7.328643866779664,33.50872426889451,-7.659065467624427,2331.5769,119.99960064406781,0.8000493940338963,-2.9576468881355927e-07,0.28619540737288063,-14.773232013220346,0.041770329446259524,-22075.682964918124,2953.1609066146007,0.0014965216000000041
baseline,1,lateral_surface,364,364,8,356,117.13186813186813,114.04395604395604,0.8747162886862119,0.02011650989131308,0.027969817332784853,0.0032692136367582364,23219276.0,-3.8518514032966977,31.23403248621746,-149.04479122089958,2281.4941,119.9992505494505,0.8000497062637358,-5.538048945329671e-07,0.2815843666483508,-15.631717650549453,0.044197640400560456,-20486.711191671526,3482.1537207175434,0.0016818811855366436
