case,variant,description,code,excluded,dtmin_adjustments,steps,part_files,first_failure_time,first_failure_negative_count,first_failure_status_-3,first_failure_status_-1,max_status_-3,max_status_-1,bad_frame_count,final_time,final_status_-3,final_status_-1,final_negative_count
CaseM3l_BaselineDense,baseline,M3k-equivalent dense reference,0,0,0,21,22,0.001005,96,4,92,16,157,16,0.002513,0,40,40
CaseM3l_Gap2Dp,gap_2dp,generated platen/specimen center gap increased from 1Dp to 2Dp,0,0,0,21,22,0.000804,4,0,4,0,258,18,0.002513,0,89,89
CaseM3l_PlatenOverhang,platen_overhang,platen radius increased to 0.04 m,0,0,0,21,22,0.001005,12,8,4,8,20,16,0.002513,0,8,8
CaseM3l_EdgeSelectorBuffer,edge_selector_buffer,cap/edge lateral selector exclusion set to 0.025 m,0,0,0,21,22,0.000905,8,0,8,13,174,17,0.002513,4,65,69
