variant,failed,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
baseline,0,7170,0,0,0,109.1721059972106,98.43500697350069,0.7654563832093987,0.05277446348987653,0.07291014526706271,0.00536283059989681,52820388.0,38.791917754383206,36.40181974291175,1.289928122295043,5004.4268,120.00060835285896,0.8000106993988779,4.5009683162168976e-07,0.29012491320081957,-60.4337805569034,0.17087248892360285,-12381.803726660086,11211.609085364613,0.004916649626436078
baseline,1,1784,1784,46,1738,116.45964125560538,96.25168161434978,0.8275055731636339,0.025482671349870527,0.03463816190549773,0.004603506210354858,41620536.0,-12.230586267092471,39.01789882125548,-34.54534048718992,4051.6697,119.99910026905808,0.8000492612836347,-6.652659002208546e-07,0.2752356131698488,-11.00198316161491,0.031107374527903207,-22988.505085549765,3833.6678394013497,0.003987005979064432
edge_selector_buffer,0,6746,0,0,0,109.44040913133709,98.54120960569226,0.7674801307252198,0.05802230896917252,0.08043640933377329,0.0109761918978284,52462104.0,36.69532641785859,37.411955384344935,1.4142095170659505,4953.1509,119.99782739253068,0.8000166567476903,-1.610879557437146e-06,0.2852373273302787,-59.04655162303541,0.16695019151886467,-14854.18385008595,12097.346463017251,0.004954072926286194
edge_selector_buffer,1,2208,2208,58,2150,114.24048913043478,96.34646739130434,0.8092054732319464,0.027280313722772963,0.03771891394677931,0.004229125318173467,39676740.0,-14.921126947243838,41.003540400835604,-6.804958810475562,8675.7295,119.99922908967415,0.8000492167844221,-5.711255476313405e-07,0.26659194005435116,-9.850299371601919,0.027851065327336267,-24750.44658235631,4534.818993394781,0.0039917059328866645
gap_2dp,0,5917,0,0,0,103.16511745817137,95.83386851444989,0.7148073578475586,0.03285239548381915,0.04467135470648313,0.004188171116559566,37210476.0,31.992530507429652,21.087945442061088,1.1516610070271107,5040.1255,119.99946955889871,0.8000191252712477,-3.928008805480821e-07,0.10707756678215805,-42.1800241581712,0.11926120862119557,-12862.28770612259,10127.188349744256,0.0019636408656360125
gap_2dp,1,3037,3037,0,3037,116.83305893974317,102.22028317418506,0.8342817869379157,0.024421445048614206,0.03202633460853578,0.005329167808214364,34356564.0,-16.10207473035063,35.50909003048864,-5.781182045258475,42.448624,119.99939763253072,0.8000509795159684,-4.462180969542298e-07,0.09380711947645823,-4.601529386359925,0.013010517823919298,-24319.645301772176,3897.127336134434,0.0011357259829473762
platen_overhang,0,8725,0,0,0,116.79060171919771,97.64893982808023,0.7987006249115701,0.04772474574827597,0.06588574570282002,-0.00024304851907655975,38350056.0,39.406584499971004,37.419577679022176,1.6447533768454037,4841.6807,120.00507457192087,0.8000047631232045,3.7576844016206677e-06,0.36503346583957996,-61.3524198979443,0.17346988046820425,-8982.260676661619,7778.3625096946225,0.005698675571692108
platen_overhang,1,229,229,37,192,147.74672489082968,111.37554585152839,0.9656213427013228,0.025398270683375333,0.0353333227656448,-0.0008206441241921362,30301938.0,6.538119075347891,36.78482593959578,-21.84723227209923,3851.8447,119.9986469432316,0.8000417501310045,-1.0019311808733627e-06,0.341898895414847,-25.83377714185152,0.07304328403498499,-15904.264387714758,6814.934147225236,0.0028241763020525387
