variant,region,return_status,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
baseline,bottom_cap_zone,-1,241,241,0,241,146.9792531120332,104.92946058091286,0.9868053817979375,0.02254700658083935,0.030139257575409754,0.0011568551850622273,28529658.0,-16.52737303037068,37.91228634444353,-6.164193386527349,29.207195,119.99938456431532,0.8000507569294608,-4.5596669435684635e-07,0.27073180985477163,-7.928418748307056,0.022417075884838527,-24444.780515968367,3043.287816215039,0.00045501123299701395
baseline,bottom_cap_zone,0,128,0,0,0,149.0859375,106.4609375,0.9881030633768569,0.03071318336098404,0.04315723932863692,0.0226502095625,30509246.0,25.328088030031246,14.616780473575258,1.1587670026104877,4596.9512,119.99934250000001,0.8000269599218746,-4.86871209375e-07,0.3211672205468752,-34.48719288281248,0.09751024062322008,-9923.644147358904,5469.252392970598,0.000559029400000001
baseline,bottom_cap_zone,1,27,0,0,0,147.88888888888889,106.03703703703704,0.9880930241349662,0.027862543551752533,0.038723424031326434,-0.007612037629629634,29947254.0,7.782041152839509,34.13677549734008,5.150089471978487,1.3923277e-06,119.99538407407408,0.8000468729629631,-3.419419281851851e-06,0.2725533490740742,-29.854129740740746,0.08441056320554491,-16894.751751564814,2125.328185685602,0.0005037655652113757
baseline,edge_ring,-3,24,24,24,0,91.33333333333333,65.16666666666667,0.6446515091096691,0.13328439897093414,0.18239107810181523,0.049238956166666674,41620536.0,53.54405268333333,91.41954245347962,1.7945043053816878,4015.5542,119.99658666666664,0.7999984733333331,-2.5306153830833328e-06,0.29261484583333347,-110.80285666666667,0.31328769645068655,-27070.407032673334,6772.474669000949,0.003987005979064432
baseline,edge_ring,-1,840,840,0,840,95.1952380952381,67.74285714285715,0.7068315425911917,0.02814457546124093,0.03777800021665997,0.004773336598664418,28763496.0,-19.112135402032123,42.669971344448356,-4.223601092164,35.297157,119.99876095238072,0.8000507677142827,-9.15786818749999e-07,0.26956744233333074,-4.442173689617861,0.012559950206346003,-23763.593608754578,3663.3336753525105,0.0011234846871457605
baseline,edge_ring,0,632,0,0,0,95.63291139240506,68.86708860759494,0.7067711410451394,0.04104320173219428,0.057740196270326574,0.022830795363924027,31462646.0,34.07841099375004,20.27552528294963,0.9074867162648609,4271.8604,119.99987082278483,0.8000172270886086,-9.568463275316456e-08,0.32175286835442957,-46.30818029430375,0.13093329511232665,-7971.889878979489,4914.7190734271635,0.00188980205916846
baseline,edge_ring,1,968,0,0,0,96.14462809917356,68.0909090909091,0.7171226075878734,0.12474016895788449,0.17029566267163787,0.044931607456611546,52820388.0,51.7830171358713,67.33735009274301,1.5930188172450601,9.7490542e-05,120.00326276859516,0.7999931202479331,2.4137435774390467e-06,0.2797014256818158,-94.58802285640486,0.26744133395093844,-30388.706230144846,13845.97272179256,0.004916649626436078
baseline,interior,-3,5,5,5,0,158.0,156.2,0.999248880015762,0.056390829923622585,0.07869985479296009,-0.012228122219999998,8762840.0,58.5884098,81.0348826032882,1.385362996498532,2331.5769,119.98103,0.800018272,-1.404895676e-05,0.254449933,-111.68968600000001,0.3157951473174157,-7042.745599064599,3421.9691997076297,0.0014965216000000041
baseline,interior,-1,290,290,0,290,149.7655172413793,146.97241379310344,0.9860199226957679,0.015648023967397798,0.02199118121880728,0.004148127295827592,25330684.0,-8.46514479206897,32.689307745887724,-7.81500388941965,18.571222,119.99992082758622,0.8000499306206877,-5.86406875862069e-08,0.28674274313793036,-13.102258668620696,0.03704576362089476,-22334.87154019146,2175.4795008425376,0.00037263561576954176
baseline,interior,0,482,0,0,0,149.29460580912863,146.49377593360995,0.9836764009428381,0.028712222680716378,0.04048402728287241,0.009382849266805,29692218.0,24.308622148052116,21.35638381845792,1.4165580398298796,4419.9541,119.99873574688779,0.8000276271991705,-9.361009221991715e-07,0.3113343798132754,-38.22180894398339,0.10806961876679777,-10349.178360873655,5246.656094675784,0.0008356465300000119
