z,z_norm,analytical_initial_excess,saved_frame0_excess,analytical_t0p1_excess,fd_t0p1_excess,gpu_mode0_t0p1_excess_approx,gpu_mode1_t0p1_excess
0.0049999999,0,20312.9569069,0,16516.0155286,16518.4904259,16086.2741085,15890.16493
0.0115999999007,0.00666666666667,20177.5371941,0,16514.4782566,16516.9020507,16086.2741085,15890.1649299
0.0181999999013,0.0133333333333,20042.1174814,0,16509.8676852,16512.2826,16086.9141406,15891.0610028
0.024799999902,0.02,19906.6977687,0,16502.1875447,16504.6356491,16088.622753,15892.8874642
0.0313999999027,0.0266666666667,19771.278056,0,16491.4440423,16493.8235911,16085.8906247,15889.3677097
0.0379999999033,0.0333333333333,19635.8583433,0,16477.6458469,16479.9990819,16080.8418016,15883.7156322
0.044599999904,0.04,19500.4386306,0,16460.8040684,16463.1727688,16072.868277,15875.747973
0.0511999999047,0.0466666666667,19365.0189179,0,16440.9322307,16443.2160214,16061.0225813,15863.5393213
0.0577999999053,0.0533333333333,19229.5992052,0,16418.0462388,16420.2872368,16046.9363126,15849.1884089
0.064399999906,0.06,19094.1794924,0,16392.1643413,16394.4039002,16029.8501885,15832.3715039
0.0709999999067,0.0666666666667,18958.7597797,0,16363.3070862,16365.4470713,16009.4652464,15811.5235129
0.0775999999073,0.0733333333333,18823.340067,0,16331.4972724,16333.5795244,15986.84745,15788.5561929
0.084199999908,0.08,18687.9203543,0,16296.7598951,16298.8252029,15960.9334952,15763.0277272
0.0907999999087,0.0866666666667,18552.5006416,0,16259.1220876,16261.0753628,15931.7709919,15733.6470862
0.0973999999093,0.0933333333333,18417.0809289,0,16218.6130575,16220.4957036,15900.5747438,15702.193983
0.10399999991,0.1,18281.6612162,0,16175.2640185,16177.1161141,15866.4483645,15668.1233795
0.110599999911,0.106666666667,18146.2415035,0,16129.1081186,16130.8383439,15828.8839877,15630.4064062
0.117199999911,0.113333333333,18010.8217907,0,16080.1803644,16081.829513,15789.2097309,15590.6719806
0.123799999912,0.12,17875.402078,0,16028.517541,16030.1248293,15746.4944207,15548.279207
0.130399999913,0.126666666667,17739.9823653,0,15974.1581299,15975.636627,15700.7190481,15502.450734
0.136999999913,0.133333333333,17604.5626526,0,15917.1422228,15918.53193,15653.0065013,15454.6735393
0.143599999914,0.14,17469.1429399,0,15857.5114335,15858.8505462,15602.3857052,15404.2283885
0.150199999915,0.146666666667,17333.7232272,0,15795.3088071,15796.51529,15548.6862261,15350.6062554
0.156799999915,0.153333333333,17198.3035145,0,15730.5787275,15731.6915986,15493.1010196,15295.1164712
0.163399999916,0.16,17062.8838018,0,15663.3668229,15664.423093,15434.8017882,15236.9637859
0.169999999917,0.166666666667,16927.464089,0,15593.7198701,15594.6427848,15373.4913308,15175.8718702
0.176599999917,0.173333333333,16792.0443763,0,15521.6856981,15522.5130965,15310.3530035,15112.9954113
0.183199999918,0.18,16656.6246636,0,15447.3130905,15448.0806337,15244.6597232,15047.4839892
0.189799999919,0.186666666667,16521.2049509,0,15370.651688,15371.2881637,15176.2963588,14979.2816748
0.196399999919,0.193333333333,16385.7852382,0,15291.7518907,15292.2937636,15106.1620031,14909.3857695
0.20299999992,0.2,16250.3655255,0,15210.6647605,15211.1461789,15033.2612071,14836.900609
0.209599999921,0.206666666667,16114.9458128,0,15127.4419246,15127.7973585,14958.0277857,14761.9862286
0.216199999921,0.213333333333,15979.5261001,0,15042.1354793,15042.3998289,14881.2071107,14685.47884
0.222799999922,0.22,15844.1063874,0,14954.7978955,14955.0036403,14801.8632787,14606.444691
0.229399999923,0.226666666667,15708.6866746,0,14865.481925,14865.5692434,14720.3823676,14525.2211418
0.235999999923,0.233333333333,15573.2669619,0,14774.2405096,14774.2425587,14637.3495813,14442.5028211
0.242599999924,0.24,15437.8472492,0,14681.1266906,14681.0741376,14551.6341922,14357.336878
0.249199999925,0.246666666667,15302.4275365,0,14586.1935222,14586.0321755,14464.105146,14270.2347434
