line,time,Tv,z,z_norm,excess
gpu_mode0_xi005_approx,0.1,0.027441722676,0.583719013518,0.584564660161,8503.85178295
gpu_mode0_xi005_approx,0.1,0.027441722676,0.593686824991,0.594633156598,8303.2745072
gpu_mode0_xi005_approx,0.1,0.027441722676,0.603654636463,0.604701653033,8101.40872647
gpu_mode0_xi005_approx,0.1,0.027441722676,0.613622447936,0.614770149469,7899.54294574
gpu_mode0_xi005_approx,0.1,0.027441722676,0.623603639021,0.624852160665,7697.24766334
gpu_mode0_xi005_approx,0.1,0.027441722676,0.633571450493,0.634920657101,7494.52287929
gpu_mode0_xi005_approx,0.1,0.027441722676,0.643539261966,0.644989153537,7290.93909192
gpu_mode0_xi005_approx,0.1,0.027441722676,0.653507073438,0.655057649972,7087.35530454
gpu_mode0_xi005_approx,0.1,0.027441722676,0.66347488491,0.665126146408,6883.3420155
gpu_mode0_xi005_approx,0.1,0.027441722676,0.673442696383,0.675194642844,6678.89922481
gpu_mode0_xi005_approx,0.1,0.027441722676,0.683410507855,0.685263139279,6474.02693245
gpu_mode0_xi005_approx,0.1,0.027441722676,0.693378319328,0.695331635716,6268.72513843
gpu_mode0_xi005_approx,0.1,0.027441722676,0.7033461308,0.705400132151,6062.99384275
gpu_mode0_xi005_approx,0.1,0.027441722676,0.713313942273,0.715468628587,5857.26254707
gpu_mode0_xi005_approx,0.1,0.027441722676,0.723281753745,0.725537125023,5651.10174972
gpu_mode0_xi005_approx,0.1,0.027441722676,0.733249565217,0.735605621458,5444.51145072
gpu_mode0_xi005_approx,0.1,0.027441722676,0.74321737669,0.745674117894,5237.49165006
gpu_mode0_xi005_approx,0.1,0.027441722676,0.753185188162,0.75574261433,5030.47184939
gpu_mode0_xi005_approx,0.1,0.027441722676,0.763152999635,0.765811110766,4823.02254707
gpu_mode0_xi005_approx,0.1,0.027441722676,0.77313419072,0.775893121962,4615.57324474
gpu_mode0_xi005_approx,0.1,0.027441722676,0.783102002192,0.785961618397,4407.69444075
gpu_mode0_xi005_approx,0.1,0.027441722676,0.793069813665,0.796030114834,4199.38613511
gpu_mode0_xi005_approx,0.1,0.027441722676,0.803037625137,0.806098611269,3991.07782946
gpu_mode0_xi005_approx,0.1,0.027441722676,0.813005436609,0.816167107704,3782.34002215
gpu_mode0_xi005_approx,0.1,0.027441722676,0.822973248082,0.826235604141,3573.17271318
gpu_mode0_xi005_approx,0.1,0.027441722676,0.832941059554,0.836304100576,3364.00540421
gpu_mode0_xi005_approx,0.1,0.027441722676,0.842908871027,0.846372597012,3154.83809524
gpu_mode0_xi005_approx,0.1,0.027441722676,0.852876682499,0.856441093448,2945.24128461
gpu_mode0_xi005_approx,0.1,0.027441722676,0.862844493972,0.866509589884,2735.64447398
gpu_mode0_xi005_approx,0.1,0.027441722676,0.872812305444,0.87657808632,2525.61816168
gpu_mode0_xi005_approx,0.1,0.027441722676,0.882780116916,0.886646582755,2315.59184939
gpu_mode0_xi005_approx,0.1,0.027441722676,0.892747928389,0.896715079191,2105.13603544
gpu_mode0_xi005_approx,0.1,0.027441722676,0.902715739861,0.906783575627,1894.68022148
gpu_mode0_xi005_approx,0.1,0.027441722676,0.912683551334,0.916852072063,1684.22440753
gpu_mode0_xi005_approx,0.1,0.027441722676,0.922651362806,0.926920568498,1473.76859358
gpu_mode0_xi005_approx,0.1,0.027441722676,0.932619174278,0.936989064934,1263.31277962
gpu_mode0_xi005_approx,0.1,0.027441722676,0.942586985751,0.94705756137,1053.28646733
gpu_mode0_xi005_approx,0.1,0.027441722676,0.952554797223,0.957126057805,842.401151717
gpu_mode0_xi005_approx,0.1,0.027441722676,0.962522608696,0.967194554242,629.797829457
gpu_mode0_xi005_approx,0.1,0.027441722676,0.972490420168,0.977263050677,421.919025471
gpu_mode0_xi005_approx,0.1,0.027441722676,0.98245823164,0.987331547112,168.083543743
gpu_mode0_xi005_approx,0.1,0.027441722676,0.992426043113,0.997400043549,168.083543743
gpu_mode1_xi005_b5,0.1,0.027441722676,0.0049999999,0,15890.16493
gpu_mode1_xi005_b5,0.1,0.027441722676,0.014962,0.0100626263626,15890.1649298
gpu_mode1_xi005_b5,0.1,0.027441722676,0.024946,0.0201474748464,15892.9278678
gpu_mode1_xi005_b5,0.1,0.027441722676,0.034932,0.0302343435323,15887.4193864
gpu_mode1_xi005_b5,0.1,0.027441722676,0.044919,0.0403222223192,15875.3628694
gpu_mode1_xi005_b5,0.1,0.027441722676,0.054905,0.050409091005,15856.5649147
gpu_mode1_xi005_b5,0.1,0.027441722676,0.064894,0.0604989899939,15831.1127838
gpu_mode1_xi005_b5,0.1,0.027441722676,0.074882,0.0705878788818,15799.0692789
gpu_mode1_xi005_b5,0.1,0.027441722676,0.084871,0.0806777778706,15760.4323328
gpu_mode1_xi005_b5,0.1,0.027441722676,0.094861,0.0907686869605,15715.3008405
gpu_mode1_xi005_b5,0.1,0.027441722676,0.104851,0.10085959605,15663.7303361
gpu_mode1_xi005_b5,0.1,0.027441722676,0.114842,0.110951515241,15605.8177619
gpu_mode1_xi005_b5,0.1,0.027441722676,0.124834,0.121044444533,15541.6376719
gpu_mode1_xi005_b5,0.1,0.027441722676,0.134826,0.131137373825,15471.2898656
gpu_mode1_xi005_b5,0.1,0.027441722676,0.144818,0.141230303117,15394.9189646
gpu_mode1_xi005_b5,0.1,0.027441722676,0.154811,0.15132424251,15312.6415751
gpu_mode1_xi005_b5,0.1,0.027441722676,0.164805,0.161419192004,15224.584312
gpu_mode1_xi005_b5,0.1,0.027441722676,0.174798,0.171513131397,15130.8820139
gpu_mode1_xi005_b5,0.1,0.027441722676,0.184793,0.181609090992,15031.6719133
gpu_mode1_xi005_b5,0.1,0.027441722676,0.194787,0.191704040486,14927.1007025
gpu_mode1_xi005_b5,0.1,0.027441722676,0.204782,0.201800000081,14817.3296148
gpu_mode1_xi005_b5,0.1,0.027441722676,0.214777,0.211895959676,14702.5190806
gpu_mode1_xi005_b5,0.1,0.027441722676,0.224773,0.221992929372,14582.8182694
gpu_mode1_xi005_b5,0.1,0.027441722676,0.234769,0.232089899067,14458.3875589
gpu_mode1_xi005_b5,0.1,0.027441722676,0.244765,0.242186868763,14329.3998669
gpu_mode1_xi005_b5,0.1,0.027441722676,0.254762,0.25228484856,14196.0348725
gpu_mode1_xi005_b5,0.1,0.027441722676,0.264758,0.262381818256,14058.4682201
gpu_mode1_xi005_b5,0.1,0.027441722676,0.274755,0.272479798053,13916.8666526
gpu_mode1_xi005_b5,0.1,0.027441722676,0.284752,0.28257777785,13771.4010788
gpu_mode1_xi005_b5,0.1,0.027441722676,0.29475,0.292676767748,13622.2428645
gpu_mode1_xi005_b5,0.1,0.027441722676,0.304747,0.302774747545,13469.5559841
gpu_mode1_xi005_b5,0.1,0.027441722676,0.314745,0.312873737443,13313.5031985
gpu_mode1_xi005_b5,0.1,0.027441722676,0.324743,0.322972727341,13154.2479161
gpu_mode1_xi005_b5,0.1,0.027441722676,0.334741,0.333071717239,12991.9514232
gpu_mode1_xi005_b5,0.1,0.027441722676,0.344739,0.343170707137,12826.7711783
gpu_mode1_xi005_b5,0.1,0.027441722676,0.354738,0.353270707136,12658.8598368
gpu_mode1_xi005_b5,0.1,0.027441722676,0.364736,0.363369697034,12488.3653429
gpu_mode1_xi005_b5,0.1,0.027441722676,0.374735,0.373469697033,12315.4318846
gpu_mode1_xi005_b5,0.1,0.027441722676,0.384734,0.383569697032,12140.1998423
gpu_mode1_xi005_b5,0.1,0.027441722676,0.394733,0.393669697031,11962.8041302
gpu_mode1_xi005_b5,0.1,0.027441722676,0.404732,0.40376969703,11783.3742639
gpu_mode1_xi005_b5,0.1,0.027441722676,0.414731,0.413869697029,11602.0343396
gpu_mode1_xi005_b5,0.1,0.027441722676,0.42473,0.423969697028,11418.9036993
gpu_mode1_xi005_b5,0.1,0.027441722676,0.434729,0.434069697027,11234.0961458
gpu_mode1_xi005_b5,0.1,0.027441722676,0.444728,0.444169697026,11047.7197229
gpu_mode1_xi005_b5,0.1,0.027441722676,0.454727,0.454269697025,10859.8766123
gpu_mode1_xi005_b5,0.1,0.027441722676,0.464727,0.464370707125,10670.6636068
gpu_mode1_xi005_b5,0.1,0.027441722676,0.474726,0.474470707124,10480.1721029
gpu_mode1_xi005_b5,0.1,0.027441722676,0.484725,0.484570707123,10288.4880774
gpu_mode1_xi005_b5,0.1,0.027441722676,0.494725,0.494671717223,10095.6919412
gpu_mode1_xi005_b5,0.1,0.027441722676,0.504724,0.504771717222,9901.85900726
gpu_mode1_xi005_b5,0.1,0.027441722676,0.514724,0.514872727322,9707.05979106
gpu_mode1_xi005_b5,0.1,0.027441722676,0.524724,0.524973737422,9511.35941971
gpu_mode1_xi005_b5,0.1,0.027441722676,0.534723,0.535073737421,9314.81848173
gpu_mode1_xi005_b5,0.1,0.027441722676,0.544723,0.545174747521,9117.49297134
gpu_mode1_xi005_b5,0.1,0.027441722676,0.554722,0.55527474752,8919.43441514
gpu_mode1_xi005_b5,0.1,0.027441722676,0.564722,0.56537575762,8720.69014982
gpu_mode1_xi005_b5,0.1,0.027441722676,0.574722,0.57547676772,8521.30374206
gpu_mode1_xi005_b5,0.1,0.027441722676,0.584721,0.585576767719,8321.31457803
gpu_mode1_xi005_b5,0.1,0.027441722676,0.594721,0.595677777819,8120.75895958
gpu_mode1_xi005_b5,0.1,0.027441722676,0.604721,0.605778787919,7919.66946318
gpu_mode1_xi005_b5,0.1,0.027441722676,0.61472,0.615878787918,7718.07594441
gpu_mode1_xi005_b5,0.1,0.027441722676,0.62472,0.625979798018,7516.00502381
gpu_mode1_xi005_b5,0.1,0.027441722676,0.63472,0.636080808118,7313.48098214
gpu_mode1_xi005_b5,0.1,0.027441722676,0.644719,0.646180808117,7110.52575198
