cv_scale,cv,rmse,relative_rmse
0.6,0.1646671371442013,3148.0153181359406,0.3382452248260918
0.61,0.167411589429938,3062.6200524001474,0.33153118508627893
0.62,0.1701560417156747,2978.5387846010817,0.32481755774219084
0.63,0.1729004940014114,2895.744653331803,0.3181049743775855
0.64,0.17564494628714808,2814.211537128612,0.31139405643567747
0.65,0.17838939857288477,2733.9140278529053,0.30468541519093656
0.66,0.18113385085862146,2654.8274061646493,0.29797965180435565
0.67,0.18387830314435816,2576.9276189469692,0.29127735746343075
0.68,0.18662275543009485,2500.191258568555,0.2845791136094641
0.69,0.18936720771583151,2424.595543896651,0.27788549225633835
0.7,0.1921116600015682,2350.118302998723,0.2711970564066421
0.71,0.1948561122873049,2276.7379574965535,0.26451436057304967
0.72,0.1976005645730416,2204.4335085629386,0.2578379514152243
0.73,0.20034501685877829,2133.1845245796358,0.25116836850536267
0.74,0.20308946914451498,2062.971130506488,0.24450614523892392
0.75,0.20583392143025164,1993.7739990472264,0.2378518099112883
0.76,0.20857837371598834,1925.5743437388899,0.23120588698627248
0.77,0.21132282600172503,1858.353914141101,0.22456889858887577
0.78,0.21406727828746172,1792.094993361389,0.2179413662627327
0.79,0.2168117305731984,1726.7803982266144,0.21132381304297546
0.8,0.2195561828589351,1662.3934825032297,0.2047167659082703
0.81,0.2223006351446718,1598.9181436864685,0.198120758692541
0.82,0.22504508743040846,1536.3388340292347,0.19153633555858407
0.83,0.22778953971614516,1474.6405766767684,0.18496405516407965
0.84,0.23053399200188185,1413.8089880290067,0.1784044956877319
0.85,0.23327844428761854,1353.8303077910223,0.1718582609326752
0.86,0.23602289657335523,1294.6914386244048,0.1653259877904697
0.87,0.23876734885909193,1236.3799979232715,0.15880835543849262
0.88,0.24151180114482862,1178.8843850725868,0.15230609676583073
0.89,0.2442562534305653,1122.1938686974247,0.1458200126916986
0.9,0.247000705716302,1066.2987000196913,0.13935099027651088
0.91,0.2497451580020387,1011.1902607131209,0.13290002585985902
0.92,0.2524896102877754,956.861256907992,0.12646825493884573
0.93,0.25523406257351205,903.3059757396001,0.12005699119747837
0.94,0.2579785148592487,850.5206278399686,0.11366777812808808
0.95,0.26072296714498544,798.5038096942407,0.10730245823369712
0.96,0.2634674194307221,747.2571358729658,0.10096326716818314
0.97,0.2662118717164588,696.7861162370434,0.09465296386438526
0.98,0.2689563240021955,647.101393149717,0.08837501358286011
0.99,0.2717007762879322,598.2205187632318,0.08213385039790608
1.0,0.2744452285736689,550.1705609416812,0.07593526163578045
1.01,0.27718968085940554,502.9920121087707,0.0697869641867468
1.02,0.27993413314514226,456.74480196131196,0.06369949085733245
1.03,0.2826785854308789,411.5178054707455,0.05768759223735815
1.04,0.28542303771661565,367.44433301626566,0.051772521762170426
1.05,0.2881674900023523,324.7281629237878,0.045985879304217055
1.06,0.29091194228808903,283.68861775911716,0.04037627522311915
1.07,0.2936563945738257,244.84039158142406,0.035021155277942514
1.08,0.2964008468595624,209.03486286138346,0.030047800010237432
1.09,0.2991452991452991,177.69427134427934,0.025668332332566806
1.1,0.3018897514310358,153.10367052085832,0.02222409270578446
1.11,0.30463420371677247,138.3901324314191,0.020185612540985012
1.12,0.3073786560025092,136.28321953906482,0.019973857124250188
1.13,0.3101231082882458,146.88010255461575,0.02162966814646877
1.14,0.3128675605739825,167.41377312381067,0.0247702395587978
1.15,0.3156120128597192,194.45257430262842,0.028906123675645042
1.16,0.31835646514545585,225.40862145356462,0.033664256464670174
1.17,0.32110091743119257,258.66012108108424,0.038809293024875416
1.18,0.32384536971692923,293.2398819357314,0.044200038269607285
1.19,0.32658982200266595,328.5669545779848,0.04975109492236228
1.2,0.3293342742884026,364.2827986631082,0.05540928726341168
1.21,0.33207872657413934,400.1590488238073,0.06114034072643236
1.22,0.334823178859876,436.04584624338594,0.06692140319893643
1.23,0.3375676311456127,471.842266700131,0.07273675786638209
1.24,0.3403120834313494,507.47887774372606,0.07857529137323907
1.25,0.3430565357170861,542.9071178051623,0.08442895062711925
1.26,0.3458009880028228,578.0926277434194,0.09029177300222989
1.27,0.3485454402885595,613.0109429093275,0.09615925928282484
1.28,0.35128989257429616,647.6446366898105,0.10202795750339944
1.29,0.3540343448600329,681.9813811918286,0.10789518012594931
1.3,0.35677879714576954,716.0126021486441,0.11375880765245176
1.31,0.35952324943150626,749.732527769381,0.1196171495674124
1.32,0.36226770171724293,783.1375042921802,0.12546884411100723
1.33,0.36501215400297965,816.2254955920881,0.13131278486156903
1.34,0.3677566062887163,848.9957120525094,0.1371480661551976
1.35,0.370501058574453,881.4483316889377,0.14297394195554225
1.36,0.3732455108601897,913.5842880880815,0.1487897944703498
1.37,0.37598996314592636,945.4051073994715,0.15459510992792988
1.38,0.37873441543166303,976.9127817915142,0.16038945967983392
1.39,0.3814788677173997,1008.1096703288118,0.1661724853120895
1.4,0.3842233200031364,1038.9984206915815,0.17194388680611336
1.41,0.3869677722888731,1069.581906894068,0.17770341304326187
1.42,0.3897122245746098,1099.8631793976415,0.18345085412743328
1.43,0.39245667686034647,1129.8454249086276,0.18918603513043447
1.44,0.3952011291460832,1159.5319338039144,0.1949088109599801
1.45,0.39794558143181985,1188.9260736089407,0.2006190621203745
1.46,0.40069003371755657,1218.031267311415,0.2063166911882211
1.47,0.40343448600329324,1246.8509755636815,0.21200161986480123
1.48,0.40617893828902996,1275.3886820310938,0.2176737864965751
1.49,0.4089233905747666,1303.647881299894,0.22333314397802934
1.5,0.4116678428605033,1331.6320688784613,0.22897965796864894
