DivVel_max,DivVel_maxAbs,DivVel_mean,DivVel_min,ExcessPorePress_max,ExcessPorePress_maxAbs,ExcessPorePress_mean,ExcessPorePress_min,LapPorePress_max,LapPorePress_maxAbs,LapPorePress_mean,LapPorePress_min,LapZ_max,LapZ_maxAbs,LapZ_mean,LapZ_min,PorePressRate_max,PorePressRate_maxAbs,PorePressRate_mean,PorePressRate_min,PorePress_max,PorePress_maxAbs,PorePress_mean,PorePress_min,PorePressureAccelDiff_maxAbs,Vel_maxAbs,backend,bottom_no_flux_proxy,code,excluded,frame,label,n,runtime_s,steps,top_excess_maxAbs
0,0,0,0,0.000906751433,0.000906751433,0.000748296962,0,529504.12,529504.12,0.000172386886,-529504,53.975937,53.975937,2.63511731e-06,-53.975933,33.120537,33.120537,1.76451708,-2.8009386,9760.95125,9760.95125,4905.00096,49.0500021,2.29804103e-06,0,gpu,3.42042858e-07,0,0,PartCsv_0001,hydrostatic_mode1_gpu,1000,1.369416,525,0
0,0,0,0,2952.01379,2952.01379,1957.93472,0,693684.25,693684.25,-0.000114600075,-529252.56,53.975941,53.975941,-2.79338002e-07,-53.975941,31459776,31459776,-0.23894,-500093.31,12712.7352,12712.7352,6862.93493,49.0500021,2.5979929,0,cpu,0.0143509315,0,0,PartCsv_0002,diffusion_mode1_parity,1000,52.354179,2098,0
0,0,0,0,2952.01774,2952.01774,1957.93755,0,693550.62,693550.62,0.000425999995,-529252.56,53.975937,53.975937,2.60841443e-06,-53.975933,31450700,31450700,1.745901,-499867.16,12712.7393,12712.7393,6862.93776,49.0500021,2.5972438,0,gpu,0.014525763,0,0,PartCsv_0002,diffusion_mode1_parity,1000,7.604859,2098,0
0.0074829515,0.031794954,0.00119711806,-0.031794954,27696.1858,27696.1858,15874.8092,0,4384440.5,4384440.5,5.0311174,-519002.06,53.996559,53.996559,0.000299931324,-53.991409,284007780,284007780,-797536.815,-6724166,37447.5379,37447.5379,20780.1841,49.5944817,21.899759,0.0021334202,cpu,0.220836455,0,0,PartCsv_0002,selfweight_mode1_parity,1000,155.879517,5244,0
0.0074876281,0.031787675,0.00120171112,-0.031787675,27696.1836,27696.1836,15874.8082,3.45862335e-06,4374318.5,4374318.5,5.025725,-519038.5,53.996559,53.996559,0.000300165342,-53.991428,283288930,283288930,-800599.004,-6714896,37447.5364,37447.5364,20780.1831,49.5944854,21.911646,0.0021334242,gpu,0.221314473,0,0,PartCsv_0002,selfweight_mode1_parity,1000,21.298656,5244,3.82387688e-06
0.0074876216,0.031787686,0.00120171096,-0.031787686,27696.1836,27696.1836,15874.8082,3.45862443e-06,4381571,4381571,5.5595039,-715047.06,73.977051,73.977715,0.000245790342,-73.977715,283288930,283288930,-800598.862,-6714897,37447.5364,37447.5364,20780.1832,49.5944854,21.911646,0.0021334242,gpu,0.221289569,0,0,PartCsv_0002,selfweight_mode0_gpu,1000,16.984531,5244,3.8238747e-06
1.9193192e-05,0.010198778,-0.00239605014,-0.010198778,16675.2797,16675.2797,9490.39731,-1.21134194e-05,2030242.6,2030242.6,-4.89517,-525973.62,54.053802,54.053802,0.000473882293,-53.985271,122288360,122288360,1597349.96,-371991.12,26432.5338,26432.5338,14396.7669,50.7078001,10.073874,0.0025899569,gpu,0.012872377,0,0,PartCsv_0010,selfweight_mode1_medium_gpu,1000,213.438400,52437,1.21134194e-05
